"Date","Depth","TP_interp"
2014-05-14,3.8,12.0666666666667
2014-05-14,5,12.2
2014-05-14,5.2,NA
2014-05-14,5.5,NA
2014-05-14,5.8,NA
2014-05-14,6,NA
2014-05-14,6.2,9.6
2014-05-14,8,9.6
2014-05-14,9,14.2
2014-05-14,9.3,NA
2014-05-15,0.1,11.6
2014-05-15,1,15.2666666666667
2014-05-15,1.6,13.5666666666667
2014-05-15,2.8,15.5
2014-05-15,3.8,11.5333333333333
2014-05-15,5,11.9
2014-05-15,5.2,NA
2014-05-15,5.5,NA
2014-05-15,5.8,NA
2014-05-15,6,NA
2014-05-15,6.2,10.2
2014-05-15,8,9.8
2014-05-15,9,12.4
2014-05-15,9.3,NA
2014-05-19,0.1,11.2
2014-05-19,1,15.5
2014-05-19,1.6,14.5
2014-05-19,2.8,17.6
2014-05-19,3.8,11
2014-05-19,5,11.6
2014-05-19,5.2,NA
2014-05-19,5.5,NA
2014-05-19,5.8,NA
2014-05-19,6,NA
2014-05-19,6.2,10.8
2014-05-19,8,10
2014-05-19,9,10.6
2014-05-19,9.3,NA
2014-05-22,0.1,11
2014-05-22,1,13.55
2014-05-22,1.6,13.9
2014-05-22,2.8,15.85
2014-05-22,3.8,11.25
2014-05-22,5,11.35
2014-05-22,5.2,NA
2014-05-22,5.5,NA
2014-05-22,5.8,NA
2014-05-22,6,NA
2014-05-22,6.2,10.65
2014-05-22,8,10.25
2014-05-22,9,10.7
2014-05-22,9.3,NA
2014-05-26,0.1,10.8
2014-05-26,1,11.6
2014-05-26,1.6,13.3
2014-05-26,2.8,14.1
2014-05-26,3.8,11.5
2014-05-26,5,11.1
2014-05-26,5.2,NA
2014-05-26,5.5,NA
2014-05-26,5.8,NA
2014-05-26,6,NA
2014-05-26,6.2,10.5
2014-05-26,8,10.5
2014-05-26,9,10.8
2014-05-26,9.3,NA
2014-05-28,0.1,10.85
2014-05-28,1,13.4
2014-05-28,1.6,12.7
2014-05-28,2.8,16.15
2014-05-28,3.8,13.4
2014-05-28,5,11.2
2014-05-28,5.2,NA
2014-05-28,5.5,NA
2014-05-28,5.8,NA
2014-05-28,6,NA
2014-05-28,6.2,11.6
2014-05-28,8,9.95
2014-05-28,9,14
2014-05-28,9.3,NA
2014-06-02,0.1,10.9
2014-06-02,1,15.2
2014-06-02,1.6,12.1
2014-06-02,2.8,18.2
2014-06-02,3.8,15.3
2014-06-02,5,11.3
2014-06-02,5.2,NA
2014-06-02,5.5,NA
2014-06-02,5.8,NA
2014-06-02,6,NA
2014-06-02,6.2,12.7
2014-06-02,8,9.4
2014-06-02,9,17.2
2014-06-02,9.3,NA
2014-06-03,0.1,11.78
2014-06-03,1,14.68
2014-06-03,1.6,11.96
2014-06-03,2.8,17.16
2014-06-03,3.8,14.5
2014-06-03,5,10.94
2014-06-03,5.2,NA
2014-06-03,5.5,NA
2014-06-03,5.8,NA
2014-06-03,6,NA
2014-06-03,6.2,12.38
2014-06-03,8,10.98
2014-06-03,9,18.72
2014-06-03,9.3,NA
2014-06-04,0.1,12.66
2014-06-04,1,14.16
2014-06-04,1.6,11.82
2014-06-04,2.8,16.12
2014-06-04,3.8,13.7
2014-06-04,5,10.58
2014-06-04,5.2,NA
2014-06-04,5.5,NA
2014-06-04,5.8,NA
2014-06-04,6,NA
2014-06-04,6.2,12.06
2014-06-04,8,12.56
2014-06-04,9,20.24
2014-06-04,9.3,NA
2014-06-05,0.1,13.54
2014-06-05,1,13.64
2014-06-05,1.6,11.68
2014-06-05,2.8,15.08
2014-06-05,3.8,12.9
2014-06-05,5,10.22
2014-06-05,5.2,NA
2014-06-05,5.5,NA
2014-06-05,5.8,NA
2014-06-05,6,NA
2014-06-05,6.2,11.74
2014-06-05,8,14.14
2014-06-05,9,21.76
2014-06-05,9.3,NA
2014-06-06,0.1,14.42
2014-06-06,1,13.12
2014-06-06,1.6,11.54
2014-06-06,2.8,14.04
2014-06-06,3.8,12.1
2014-06-06,5,9.86
2014-06-06,5.2,NA
2014-06-06,5.5,NA
2014-06-06,5.8,NA
2014-06-06,6,NA
2014-06-06,6.2,11.42
2014-06-06,8,15.72
2014-06-06,9,23.28
2014-06-06,9.3,NA
2014-06-09,0.1,15.3
2014-06-09,1,12.6
2014-06-09,1.6,11.4
2014-06-09,2.8,13
2014-06-09,3.8,11.3
2014-06-09,5,9.5
2014-06-09,5.2,NA
2014-06-09,5.5,NA
2014-06-09,5.8,NA
2014-06-09,6,NA
2014-06-09,6.2,11.1
2014-06-09,8,17.3
2014-06-09,9,24.8
2014-06-09,9.3,NA
2014-06-12,0.1,15.1
2014-06-12,1,12.75
2014-06-12,1.6,12.95
2014-06-12,2.8,12.35
2014-06-12,3.8,14
2014-06-12,5,9.2
2014-06-12,5.2,NA
2014-06-12,5.5,NA
2014-06-12,5.8,NA
2014-06-12,6,NA
2014-06-12,6.2,12.15
2014-06-12,8,15.4
2014-06-12,9,19.95
2014-06-12,9.3,NA
2014-06-16,0.1,14.9
2014-06-16,1,12.9
2014-06-16,1.6,14.5
2014-06-16,2.8,11.7
2014-06-16,3.8,16.7
2014-06-16,5,8.9
2014-06-16,5.2,NA
2014-06-16,5.5,NA
2014-06-16,5.8,NA
2014-06-16,6,NA
2014-06-16,6.2,13.2
2014-06-16,8,13.5
2014-06-16,9,15.1
2014-06-16,9.3,NA
2014-06-19,0.1,14.4
2014-06-19,1,14.4
2014-06-19,1.6,17.6
2014-06-19,2.8,21.45
2014-06-19,3.8,19.55
2014-06-19,5,15.05
2014-06-19,5.2,NA
2014-06-19,5.5,NA
2014-06-19,5.8,NA
2014-06-19,6,NA
2014-06-19,6.2,16.75
2014-06-19,8,13.8
2014-06-19,9,16.25
2014-06-19,9.3,NA
2014-06-23,0.1,13.9
2014-06-23,1,15.9
2014-06-23,1.6,20.7
2014-06-23,2.8,31.2
2014-06-23,3.8,22.4
2014-06-23,5,21.2
2014-06-23,5.2,NA
2014-06-23,5.5,NA
2014-06-23,5.8,NA
2014-06-23,6,NA
2014-06-23,6.2,20.3
2014-06-23,8,14.1
2014-06-23,9,17.4
2014-06-23,9.3,NA
2014-06-25,0.1,18.85
2014-06-25,1,18.4
2014-06-25,1.6,19.75
2014-06-25,2.8,27.35
2014-06-25,3.8,22.45
2014-06-25,5,20.75
2014-06-25,5.2,NA
2014-06-25,5.5,NA
2014-06-25,5.8,NA
2014-06-25,6,NA
2014-06-25,6.2,18.8
2014-06-25,8,16.95
2014-06-25,9,19
2014-06-25,9.3,NA
2014-06-29,0.1,23.8
2014-06-29,1,20.9
2014-06-29,1.6,18.8
2014-06-29,2.8,23.5
2014-06-29,3.8,22.5
2014-06-29,5,20.3
2014-06-29,5.2,NA
2014-06-29,5.5,NA
2014-06-29,5.8,NA
2014-06-29,6,NA
2014-06-29,6.2,17.3
2014-06-29,8,19.8
2014-06-29,9,20.6
2014-06-29,9.3,NA
2014-06-30,0.1,18.9
2014-06-30,1,18.4
2014-06-30,1.6,17
2014-06-30,2.8,16.9
2014-06-30,3.8,23
2014-06-30,5,22
2014-06-30,5.2,NA
2014-06-30,5.5,NA
2014-06-30,5.8,NA
2014-06-30,6,NA
2014-06-30,6.2,16.9
2014-06-30,8,21
2014-06-30,9,11
2014-06-30,9.3,NA
2014-07-01,0.1,19.3333333333333
2014-07-01,1,17.9666666666667
2014-07-01,1.6,16.5666666666667
2014-07-01,2.8,18.3
2014-07-01,3.8,18
2014-07-01,5,19.1
2014-07-01,5.2,NA
2014-07-01,5.5,NA
2014-07-01,5.8,NA
2014-07-01,6,NA
2014-07-01,6.2,17.3
2014-07-01,8,21.4333333333333
2014-07-01,9,15.1666666666667
2014-07-01,9.3,NA
2014-07-02,0.1,19.7666666666667
2014-07-02,1,17.5333333333333
2014-07-02,1.6,16.1333333333333
2014-07-02,2.8,19.7
2014-07-02,3.8,13
2014-07-02,5,16.2
2014-07-02,5.2,NA
2014-07-02,5.5,NA
2014-07-02,5.8,NA
2014-07-02,6,NA
2014-07-02,6.2,17.7
2014-07-02,8,21.8666666666667
2014-07-02,9,19.3333333333333
2014-07-02,9.3,NA
2014-07-07,0.1,20.2
