"Date","Depth","DOC_interp","DOCinf_interp"
2014-05-14,8,NA,1.96666666666667
2014-05-14,9,1.8,1.96666666666667
2014-05-14,9.3,NA,1.96666666666667
2014-05-15,0.1,1.96666666666667,1.93333333333333
2014-05-15,1,NA,1.93333333333333
2014-05-15,1.6,NA,1.93333333333333
2014-05-15,2.8,NA,1.93333333333333
2014-05-15,3.8,NA,1.93333333333333
2014-05-15,5,1.8,1.93333333333333
2014-05-15,5.2,NA,1.93333333333333
2014-05-15,5.5,NA,1.93333333333333
2014-05-15,5.8,NA,1.93333333333333
2014-05-15,6,NA,1.93333333333333
2014-05-15,6.2,NA,1.93333333333333
2014-05-15,8,NA,1.93333333333333
2014-05-15,9,1.8,1.93333333333333
2014-05-15,9.3,NA,1.93333333333333
2014-05-19,0.1,2,1.9
2014-05-19,1,NA,1.9
2014-05-19,1.6,NA,1.9
2014-05-19,2.8,NA,1.9
2014-05-19,3.8,NA,1.9
2014-05-19,5,1.8,1.9
2014-05-19,5.2,NA,1.9
2014-05-19,5.5,NA,1.9
2014-05-19,5.8,NA,1.9
2014-05-19,6,NA,1.9
2014-05-19,6.2,NA,1.9
2014-05-19,8,NA,1.9
2014-05-19,9,1.8,1.9
2014-05-19,9.3,NA,1.9
2014-05-22,0.1,1.95,1.9
2014-05-22,1,NA,1.9
2014-05-22,1.6,NA,1.9
2014-05-22,2.8,NA,1.9
2014-05-22,3.8,NA,1.9
2014-05-22,5,1.95,1.9
2014-05-22,5.2,NA,1.9
2014-05-22,5.5,NA,1.9
2014-05-22,5.8,NA,1.9
2014-05-22,6,NA,1.9
2014-05-22,6.2,NA,1.9
2014-05-22,8,NA,1.9
2014-05-22,9,1.9,1.9
2014-05-22,9.3,NA,1.9
2014-05-26,0.1,1.9,1.9
2014-05-26,1,NA,1.9
2014-05-26,1.6,NA,1.9
2014-05-26,2.8,NA,1.9
2014-05-26,3.8,NA,1.9
2014-05-26,5,2.1,1.9
2014-05-26,5.2,NA,1.9
2014-05-26,5.5,NA,1.9
2014-05-26,5.8,NA,1.9
2014-05-26,6,NA,1.9
2014-05-26,6.2,NA,1.9
2014-05-26,8,NA,1.9
2014-05-26,9,2,1.9
2014-05-26,9.3,NA,1.9
2014-05-28,0.1,1.9,2
2014-05-28,1,NA,2
2014-05-28,1.6,NA,2
2014-05-28,2.8,NA,2
2014-05-28,3.8,NA,2
2014-05-28,5,2.12857142857143,2
2014-05-28,5.2,NA,2
2014-05-28,5.5,NA,2
2014-05-28,5.8,NA,2
2014-05-28,6,NA,2
2014-05-28,6.2,NA,2
2014-05-28,8,NA,2
2014-05-28,9,2,2
2014-05-28,9.3,NA,2
2014-06-02,0.1,1.9,2.1
2014-06-02,1,NA,2.1
2014-06-02,1.6,NA,2.1
2014-06-02,2.8,NA,2.1
2014-06-02,3.8,NA,2.1
2014-06-02,5,2.15714285714286,2.1
2014-06-02,5.2,NA,2.1
2014-06-02,5.5,NA,2.1
2014-06-02,5.8,NA,2.1
2014-06-02,6,NA,2.1
2014-06-02,6.2,NA,2.1
2014-06-02,8,NA,2.1
2014-06-02,9,2,2.1
2014-06-02,9.3,NA,2.1
2014-06-03,0.1,1.9,2.06
2014-06-03,1,NA,2.06
2014-06-03,1.6,NA,2.06
2014-06-03,2.8,NA,2.06
2014-06-03,3.8,NA,2.06
2014-06-03,5,2.18571428571429,2.06
2014-06-03,5.2,NA,2.06
2014-06-03,5.5,NA,2.06
2014-06-03,5.8,NA,2.06
2014-06-03,6,NA,2.06
2014-06-03,6.2,NA,2.06
2014-06-03,8,NA,2.06
2014-06-03,9,2.02,2.06
2014-06-03,9.3,NA,2.06
2014-06-04,0.1,1.9,2.02
2014-06-04,1,NA,2.02
2014-06-04,1.6,NA,2.02
2014-06-04,2.8,NA,2.02
2014-06-04,3.8,NA,2.02
2014-06-04,5,2.21428571428571,2.02
2014-06-04,5.2,NA,2.02
2014-06-04,5.5,NA,2.02
2014-06-04,5.8,NA,2.02
2014-06-04,6,NA,2.02
2014-06-04,6.2,NA,2.02
2014-06-04,8,NA,2.02
2014-06-04,9,2.04,2.02
2014-06-04,9.3,NA,2.02
2014-06-05,0.1,1.9,1.98
2014-06-05,1,NA,1.98
2014-06-05,1.6,NA,1.98
2014-06-05,2.8,NA,1.98
2014-06-05,3.8,NA,1.98
2014-06-05,5,2.24285714285714,1.98
2014-06-05,5.2,NA,1.98
2014-06-05,5.5,NA,1.98
2014-06-05,5.8,NA,1.98
2014-06-05,6,NA,1.98
2014-06-05,6.2,NA,1.98
2014-06-05,8,NA,1.98
2014-06-05,9,2.06,1.98
2014-06-05,9.3,NA,1.98
2014-06-06,0.1,1.9,1.94
2014-06-06,1,NA,1.94
2014-06-06,1.6,NA,1.94
2014-06-06,2.8,NA,1.94
2014-06-06,3.8,NA,1.94
2014-06-06,5,2.27142857142857,1.94
2014-06-06,5.2,NA,1.94
2014-06-06,5.5,NA,1.94
2014-06-06,5.8,NA,1.94
2014-06-06,6,NA,1.94
2014-06-06,6.2,NA,1.94
2014-06-06,8,NA,1.94
2014-06-06,9,2.08,1.94
2014-06-06,9.3,NA,1.94
2014-06-09,0.1,1.9,1.9
2014-06-09,1,NA,1.9
2014-06-09,1.6,NA,1.9
2014-06-09,2.8,NA,1.9
2014-06-09,3.8,NA,1.9
2014-06-09,5,2.3,1.9
2014-06-09,5.2,NA,1.9
2014-06-09,5.5,NA,1.9
2014-06-09,5.8,NA,1.9
2014-06-09,6,NA,1.9
2014-06-09,6.2,NA,1.9
2014-06-09,8,NA,1.9
2014-06-09,9,2.1,1.9
2014-06-09,9.3,NA,1.9
2014-06-12,0.1,2.05,1.9
2014-06-12,1,NA,1.9
2014-06-12,1.6,NA,1.9
2014-06-12,2.8,NA,1.9
2014-06-12,3.8,NA,1.9
2014-06-12,5,2.21666666666667,1.9
2014-06-12,5.2,NA,1.9
2014-06-12,5.5,NA,1.9
2014-06-12,5.8,NA,1.9
2014-06-12,6,NA,1.9
2014-06-12,6.2,NA,1.9
2014-06-12,8,NA,1.9
2014-06-12,9,1.95,1.9
2014-06-12,9.3,NA,1.9
2014-06-16,0.1,2.2,1.9
2014-06-16,1,NA,1.9
2014-06-16,1.6,NA,1.9
2014-06-16,2.8,NA,1.9
2014-06-16,3.8,NA,1.9
2014-06-16,5,2.13333333333333,1.9
2014-06-16,5.2,NA,1.9
2014-06-16,5.5,NA,1.9
2014-06-16,5.8,NA,1.9
2014-06-16,6,NA,1.9
2014-06-16,6.2,NA,1.9
2014-06-16,8,NA,1.9
2014-06-16,9,1.8,1.9
2014-06-16,9.3,NA,1.9
2014-06-19,0.1,2.1,1.85
2014-06-19,1,NA,1.85
2014-06-19,1.6,NA,1.85
2014-06-19,2.8,NA,1.85
2014-06-19,3.8,NA,1.85
2014-06-19,5,2.05,1.85
2014-06-19,5.2,NA,1.85
2014-06-19,5.5,NA,1.85
2014-06-19,5.8,NA,1.85
2014-06-19,6,NA,1.85
2014-06-19,6.2,NA,1.85
2014-06-19,8,NA,1.85
2014-06-19,9,1.95,1.85
2014-06-19,9.3,NA,1.85
2014-06-23,0.1,2,1.8
2014-06-23,1,NA,1.8
2014-06-23,1.6,NA,1.8
2014-06-23,2.8,NA,1.8
2014-06-23,3.8,NA,1.8
2014-06-23,5,1.96666666666667,1.8
2014-06-23,5.2,NA,1.8
2014-06-23,5.5,NA,1.8
2014-06-23,5.8,NA,1.8
2014-06-23,6,NA,1.8
2014-06-23,6.2,NA,1.8
2014-06-23,8,NA,1.8
2014-06-23,9,2.1,1.8
2014-06-23,9.3,NA,1.8
2014-06-25,0.1,2.15,1.95
2014-06-25,1,NA,1.95
2014-06-25,1.6,NA,1.95
2014-06-25,2.8,NA,1.95
2014-06-25,3.8,NA,1.95
2014-06-25,5,1.88333333333333,1.95
2014-06-25,5.2,NA,1.95
2014-06-25,5.5,NA,1.95
2014-06-25,5.8,NA,1.95
2014-06-25,6,NA,1.95
2014-06-25,6.2,NA,1.95
2014-06-25,8,NA,1.95
2014-06-25,9,2.5,1.95
2014-06-25,9.3,NA,1.95
2014-06-29,0.1,2.3,2.1
2014-06-29,1,NA,2.1
2014-06-29,1.6,NA,2.1
2014-06-29,2.8,NA,2.1
2014-06-29,3.8,NA,2.1
2014-06-29,5,1.8,2.1
2014-06-29,5.2,NA,2.1
2014-06-29,5.5,NA,2.1
2014-06-29,5.8,NA,2.1
2014-06-29,6,NA,2.1
2014-06-29,6.2,NA,2.1
2014-06-29,8,NA,2.1
2014-06-29,9,2.9,2.1
2014-06-29,9.3,NA,2.1
2014-06-30,0.1,2,1.9
2014-06-30,1,NA,1.9
2014-06-30,1.6,NA,1.9
2014-06-30,2.8,NA,1.9
2014-06-30,3.8,NA,1.9
2014-06-30,5,1.9,1.9
2014-06-30,5.2,NA,1.9
2014-06-30,5.5,NA,1.9
2014-06-30,5.8,NA,1.9
2014-06-30,6,NA,1.9
2014-06-30,6.2,NA,1.9
2014-06-30,8,NA,1.9
2014-06-30,9,1.9,1.9
2014-06-30,9.3,NA,1.9
2014-07-01,0.1,1.93333333333333,1.93333333333333
2014-07-01,1,NA,1.93333333333333
2014-07-01,1.6,NA,1.93333333333333
2014-07-01,2.8,NA,1.93333333333333
2014-07-01,3.8,NA,1.93333333333333
2014-07-01,5,1.9,1.93333333333333
2014-07-01,5.2,NA,1.93333333333333
2014-07-01,5.5,NA,1.93333333333333
2014-07-01,5.8,NA,1.93333333333333
2014-07-01,6,NA,1.93333333333333
2014-07-01,6.2,NA,1.93333333333333
2014-07-01,8,NA,1.93333333333333
2014-07-01,9,1.93333333333333,1.93333333333333
2014-07-01,9.3,NA,1.93333333333333
2014-07-02,0.1,1.86666666666667,1.96666666666667
2014-07-02,1,NA,1.96666666666667
2014-07-02,1.6,NA,1.96666666666667
2014-07-02,2.8,NA,1.96666666666667
2014-07-02,3.8,NA,1.96666666666667
2014-07-02,5,1.9,1.96666666666667
2014-07-02,5.2,NA,1.96666666666667
2014-07-02,5.5,NA,1.96666666666667
2014-07-02,5.8,NA,1.96666666666667
2014-07-02,6,NA,1.96666666666667
2014-07-02,6.2,NA,1.96666666666667
2014-07-02,8,NA,1.96666666666667
2014-07-02,9,1.96666666666667,1.96666666666667
2014-07-02,9.3,NA,1.96666666666667
2014-07-07,0.1,1.8,2
2014-07-07,1,NA,2
2014-07-07,1.6,NA,2
2014-07-07,2.8,NA,2
2014-07-07,3.8,NA,2
2014-07-07,5,1.9,2
2014-07-07,5.2,NA,2
2014-07-07,5.5,NA,2
2014-07-07,5.8,NA,2
2014-07-07,6,NA,2
2014-07-07,6.2,NA,2
2014-07-07,8,NA,2
2014-07-07,9,2,2
2014-07-07,9.3,NA,2
2014-07-09,0.1,2.1,2.05
2014-07-09,1,NA,2.05
2014-07-09,1.6,NA,2.05
2014-07-09,2.8,NA,2.05
2014-07-09,3.8,NA,2.05
2014-07-09,5,1.95,2.05
2014-07-09,5.2,NA,2.05
2014-07-09,5.5,NA,2.05
2014-07-09,5.8,NA,2.05
2014-07-09,6,NA,2.05
2014-07-09,6.2,NA,2.05
2014-07-09,8,NA,2.05
2014-07-09,9,2,2.05
2014-07-09,9.3,NA,2.05
2014-07-14,0.1,2.4,2.1
2014-07-14,1,NA,2.1
2014-07-14,1.6,NA,2.1
2014-07-14,2.8,NA,2.1
2014-07-14,3.8,NA,2.1
2014-07-14,5,2,2.1
2014-07-14,5.2,NA,2.1
2014-07-14,5.5,NA,2.1
2014-07-14,5.8,NA,2.1
2014-07-14,6,NA,2.1
2014-07-14,6.2,NA,2.1
2014-07-14,8,NA,2.1
2014-07-14,9,2,2.1
2014-07-14,9.3,NA,2.1
2014-07-16,0.1,2.35,2.2
2014-07-16,1,NA,2.2
2014-07-16,1.6,NA,2.2
2014-07-16,2.8,NA,2.2
2014-07-16,3.8,NA,2.2
2014-07-16,5,3.05,2.2
2014-07-16,5.2,NA,2.2
2014-07-16,5.5,NA,2.2
2014-07-16,5.8,NA,2.2
2014-07-16,6,NA,2.2
2014-07-16,6.2,NA,2.2
2014-07-16,8,NA,2.2
2014-07-16,9,1.95,2.2
2014-07-16,9.3,NA,2.2
2014-07-21,0.1,2.3,2.3
2014-07-21,1,NA,2.3
2014-07-21,1.6,NA,2.3
2014-07-21,2.8,NA,2.3
2014-07-21,3.8,NA,2.3
2014-07-21,5,4.1,2.3
2014-07-21,5.2,NA,2.3
2014-07-21,5.5,NA,2.3
2014-07-21,5.8,NA,2.3
2014-07-21,6,NA,2.3
2014-07-21,6.2,NA,2.3
2014-07-21,8,NA,2.3
2014-07-21,9,1.9,2.3
2014-07-21,9.3,NA,2.3
2014-07-23,0.1,2.35,2.2
2014-07-23,1,NA,2.2
2014-07-23,1.6,NA,2.2
2014-07-23,2.8,NA,2.2
2014-07-23,3.8,NA,2.2
2014-07-23,5,2.9,2.2
2014-07-23,5.2,NA,2.2
2014-07-23,5.5,NA,2.2
2014-07-23,5.8,NA,2.2
2014-07-23,6,NA,2.2
2014-07-23,6.2,NA,2.2
2014-07-23,8,NA,2.2
2014-07-23,9,1.95,2.2
2014-07-23,9.3,NA,2.2
2014-07-28,0.1,2.4,2.1
2014-07-28,1,NA,2.1
2014-07-28,1.6,NA,2.1
2014-07-28,2.8,NA,2.1
2014-07-28,3.8,NA,2.1
2014-07-28,5,1.7,2.1
2014-07-28,5.2,NA,2.1
2014-07-28,5.5,NA,2.1
2014-07-28,5.8,NA,2.1
2014-07-28,6,NA,2.1
2014-07-28,6.2,NA,2.1
2014-07-28,8,NA,2.1
2014-07-28,9,2,2.1
2014-07-28,9.3,NA,2.1
2014-07-30,0.1,2.3,2.1
2014-07-30,1,NA,2.1
2014-07-30,1.6,NA,2.1
2014-07-30,2.8,NA,2.1
2014-07-30,3.8,NA,2.1
2014-07-30,5,1.73333333333333,2.1
2014-07-30,5.2,NA,2.1
2014-07-30,5.5,NA,2.1
2014-07-30,5.8,NA,2.1
2014-07-30,6,NA,2.1
2014-07-30,6.2,NA,2.1
2014-07-30,8,NA,2.1
2014-07-30,9,2.06666666666667,2.1
2014-07-30,9.3,NA,2.1
2014-08-02,0.1,2.2,2.1
2014-08-02,1,NA,2.1
2014-08-02,1.6,NA,2.1
2014-08-02,2.8,NA,2.1
2014-08-02,3.8,NA,2.1
2014-08-02,5,1.76666666666667,2.1
2014-08-02,5.2,NA,2.1
2014-08-02,5.5,NA,2.1
2014-08-02,5.8,NA,2.1
2014-08-02,6,NA,2.1
2014-08-02,6.2,NA,2.1
2014-08-02,8,NA,2.1
2014-08-02,9,2.13333333333333,2.1
2014-08-02,9.3,NA,2.1
2014-08-04,0.1,2.1,2.1
2014-08-04,1,NA,2.1
2014-08-04,1.6,NA,2.1
2014-08-04,2.8,NA,2.1
2014-08-04,3.8,NA,2.1
2014-08-04,5,1.8,2.1
2014-08-04,5.2,NA,2.1
2014-08-04,5.5,NA,2.1
2014-08-04,5.8,NA,2.1
2014-08-04,6,NA,2.1
2014-08-04,6.2,NA,2.1
2014-08-04,8,NA,2.1
2014-08-04,9,2.2,2.1
2014-08-04,9.3,NA,2.1
2014-08-06,0.1,2.125,2.15
2014-08-06,1,NA,2.15
2014-08-06,1.6,NA,2.15
2014-08-06,2.8,NA,2.15
2014-08-06,3.8,NA,2.15
2014-08-06,5,1.75,2.15
2014-08-06,5.2,NA,2.15
2014-08-06,5.5,NA,2.15
2014-08-06,5.8,NA,2.15
2014-08-06,6,NA,2.15
2014-08-06,6.2,NA,2.15
2014-08-06,8,NA,2.15
2014-08-06,9,2.35,2.15
2014-08-06,9.3,NA,2.15
2014-08-09,0.1,2.15,2.2
2014-08-09,1,NA,2.2
2014-08-09,1.6,NA,2.2
2014-08-09,2.8,NA,2.2
2014-08-09,3.8,NA,2.2
2014-08-09,5,1.7,2.2
2014-08-09,5.2,NA,2.2
2014-08-09,5.5,NA,2.2
2014-08-09,5.8,NA,2.2
2014-08-09,6,NA,2.2
2014-08-09,6.2,NA,2.2
2014-08-09,8,NA,2.2
2014-08-09,9,2.5,2.2
2014-08-09,9.3,NA,2.2
2014-08-10,0.1,2.175,2.25
2014-08-10,1,NA,2.25
2014-08-10,1.6,NA,2.25
2014-08-10,2.8,NA,2.25
2014-08-10,3.8,NA,2.25
2014-08-10,5,1.65,2.25
2014-08-10,5.2,NA,2.25
2014-08-10,5.5,NA,2.25
2014-08-10,5.8,NA,2.25
2014-08-10,6,NA,2.25
2014-08-10,6.2,NA,2.25
2014-08-10,8,NA,2.25
2014-08-10,9,2.65,2.25
2014-08-10,9.3,NA,2.25
2014-08-11,0.1,2.2,2.3
2014-08-11,1,NA,2.3
2014-08-11,1.6,NA,2.3
2014-08-11,2.8,NA,2.3
2014-08-11,3.8,NA,2.3
2014-08-11,5,1.6,2.3
2014-08-11,5.2,NA,2.3
2014-08-11,5.5,NA,2.3
2014-08-11,5.8,NA,2.3
2014-08-11,6,NA,2.3
2014-08-11,6.2,NA,2.3
2014-08-11,8,NA,2.3
2014-08-11,9,2.8,2.3
2014-08-11,9.3,NA,2.3
2014-08-13,0.1,2.3,2.2
2014-08-13,1,NA,2.2
2014-08-13,1.6,NA,2.2
2014-08-13,2.8,NA,2.2
2014-08-13,3.8,NA,2.2
2014-08-13,5,1.8,2.2
2014-08-13,5.2,NA,2.2
2014-08-13,5.5,NA,2.2
2014-08-13,5.8,NA,2.2
2014-08-13,6,NA,2.2
2014-08-13,6.2,NA,2.2
2014-08-13,8,NA,2.2
2014-08-13,9,2.85,2.2
2014-08-13,9.3,NA,2.2
2014-08-18,0.1,2.4,2.1
2014-08-18,1,NA,2.1
2014-08-18,1.6,NA,2.1
2014-08-18,2.8,NA,2.1
2014-08-18,3.8,NA,2.1
2014-08-18,5,2,2.1
2014-08-18,5.2,NA,2.1
2014-08-18,5.5,NA,2.1
2014-08-18,5.8,NA,2.1
2014-08-18,6,NA,2.1
2014-08-18,6.2,NA,2.1
2014-08-18,8,NA,2.1
2014-08-18,9,2.9,2.1
2014-08-18,9.3,NA,2.1
2014-08-19,0.1,2.4,2.1
2014-08-19,1,NA,2.1
2014-08-19,1.6,NA,2.1
2014-08-19,2.8,NA,2.1
2014-08-19,3.8,NA,2.1
2014-08-19,5,1.86666666666667,2.1
2014-08-19,5.2,NA,2.1
2014-08-19,5.5,NA,2.1
2014-08-19,5.8,NA,2.1
2014-08-19,6,NA,2.1
2014-08-19,6.2,NA,2.1
2014-08-19,8,NA,2.1
2014-08-19,9,2.56666666666667,2.1
2014-08-19,9.3,NA,2.1
2014-08-21,0.1,2.4,2.1
2014-08-21,1,NA,2.1
2014-08-21,1.6,NA,2.1
2014-08-21,2.8,NA,2.1
2014-08-21,3.8,NA,2.1
2014-08-21,5,1.73333333333333,2.1
2014-08-21,5.2,NA,2.1
2014-08-21,5.5,NA,2.1
2014-08-21,5.8,NA,2.1
2014-08-21,6,NA,2.1
2014-08-21,6.2,NA,2.1
2014-08-21,8,NA,2.1
2014-08-21,9,2.23333333333333,2.1
2014-08-21,9.3,NA,2.1
2014-08-25,0.1,2.4,2.1
2014-08-25,1,NA,2.1
2014-08-25,1.6,NA,2.1
2014-08-25,2.8,NA,2.1
2014-08-25,3.8,NA,2.1
2014-08-25,5,1.6,2.1
2014-08-25,5.2,NA,2.1
2014-08-25,5.5,NA,2.1
2014-08-25,5.8,NA,2.1
2014-08-25,6,NA,2.1
2014-08-25,6.2,NA,2.1
2014-08-25,8,NA,2.1
2014-08-25,9,1.9,2.1
2014-08-25,9.3,NA,2.1
2014-08-30,0.1,2.25,1.95
2014-08-30,1,NA,1.95
2014-08-30,1.6,NA,1.95
2014-08-30,2.8,NA,1.95
2014-08-30,3.8,NA,1.95
2014-08-30,5,1.8,1.95
2014-08-30,5.2,NA,1.95
2014-08-30,5.5,NA,1.95
2014-08-30,5.8,NA,1.95
2014-08-30,6,NA,1.95
2014-08-30,6.2,NA,1.95
2014-08-30,8,NA,1.95
2014-08-30,9,1.9,1.95
2014-08-30,9.3,NA,1.95
2014-09-03,0.1,2.1,1.8
2014-09-03,1,NA,1.8
2014-09-03,1.6,NA,1.8
2014-09-03,2.8,NA,1.8
2014-09-03,3.8,NA,1.8
2014-09-03,5,2,1.8
2014-09-03,5.2,NA,1.8
2014-09-03,5.5,NA,1.8
2014-09-03,5.8,NA,1.8
2014-09-03,6,NA,1.8
2014-09-03,6.2,NA,1.8
2014-09-03,8,NA,1.8
2014-09-03,9,1.9,1.8
2014-09-03,9.3,NA,1.8
2014-09-08,0.1,2.6,2.2
2014-09-08,1,NA,2.2
2014-09-08,1.6,NA,2.2
2014-09-08,2.8,NA,2.2
2014-09-08,3.8,NA,2.2
2014-09-08,5,1.9,2.2
2014-09-08,5.2,NA,2.2
2014-09-08,5.5,NA,2.2
2014-09-08,5.8,NA,2.2
2014-09-08,6,NA,2.2
2014-09-08,6.2,NA,2.2
2014-09-08,8,NA,2.2
2014-09-08,9,1.9,2.2
2014-09-08,9.3,NA,2.2
2014-09-15,0.1,2.6,2
2014-09-15,1,NA,2
2014-09-15,1.6,NA,2
2014-09-15,2.8,NA,2
2014-09-15,3.8,NA,2
2014-09-15,5,1.6,2
2014-09-15,5.2,NA,2
2014-09-15,5.5,NA,2
2014-09-15,5.8,NA,2
2014-09-15,6,NA,2
2014-09-15,6.2,NA,2
2014-09-15,8,NA,2
2014-09-15,9,2.1,2
2014-09-15,9.3,NA,2
2014-09-22,0.1,2.2,1.9
2014-09-22,1,NA,1.9
2014-09-22,1.6,NA,1.9
2014-09-22,2.8,NA,1.9
2014-09-22,3.8,NA,1.9
2014-09-22,5,1.8,1.9
2014-09-22,5.2,NA,1.9
2014-09-22,5.5,NA,1.9
2014-09-22,5.8,NA,1.9
2014-09-22,6,NA,1.9
2014-09-22,6.2,NA,1.9
2014-09-22,8,NA,1.9
2014-09-22,9,1.7,1.9
2014-09-22,9.3,NA,1.9
2014-09-29,0.1,2.4,1.7
2014-09-29,1,NA,1.7
2014-09-29,1.6,NA,1.7
2014-09-29,2.8,NA,1.7
2014-09-29,3.8,NA,1.7
2014-09-29,5,2.4,1.7
2014-09-29,5.2,NA,1.7
2014-09-29,5.5,NA,1.7
2014-09-29,5.8,NA,1.7
2014-09-29,6,NA,1.7
2014-09-29,6.2,NA,1.7
2014-09-29,8,NA,1.7
2014-09-29,9,2.1,1.7
2014-09-29,9.3,NA,1.7
2014-10-04,0.1,2.5,2.23333333333333
2014-10-04,1,NA,2.23333333333333
2014-10-04,1.6,NA,2.23333333333333
2014-10-04,2.8,NA,2.23333333333333
2014-10-04,3.8,NA,2.23333333333333
2014-10-04,5,2.43333333333333,2.23333333333333
2014-10-04,5.2,NA,2.23333333333333
2014-10-04,5.5,NA,2.23333333333333
2014-10-04,5.8,NA,2.23333333333333
2014-10-04,6,NA,2.23333333333333
2014-10-04,6.2,NA,2.23333333333333
2014-10-04,8,NA,2.23333333333333
2014-10-04,9,2.1,2.23333333333333
2014-10-04,9.3,NA,2.23333333333333
2014-10-10,0.1,2.6,2.76666666666667
2014-10-10,1,NA,2.76666666666667
2014-10-10,1.6,NA,2.76666666666667
2014-10-10,2.8,NA,2.76666666666667
2014-10-10,3.8,NA,2.76666666666667
2014-10-10,5,2.46666666666667,2.76666666666667
2014-10-10,5.2,NA,2.76666666666667
2014-10-10,5.5,NA,2.76666666666667
2014-10-10,5.8,NA,2.76666666666667
2014-10-10,6,NA,2.76666666666667
2014-10-10,6.2,NA,2.76666666666667
2014-10-10,8,NA,2.76666666666667
2014-10-10,9,2.1,2.76666666666667
2014-10-10,9.3,NA,2.76666666666667
2014-10-15,0.1,2.7,3.3
2014-10-15,1,NA,3.3
2014-10-15,1.6,NA,3.3
2014-10-15,2.8,NA,3.3
2014-10-15,3.8,NA,3.3
2014-10-15,5,2.5,3.3
2014-10-15,5.2,NA,3.3
2014-10-15,5.5,NA,3.3
2014-10-15,5.8,NA,3.3
2014-10-15,6,NA,3.3
2014-10-15,6.2,NA,3.3
2014-10-15,8,NA,3.3
2014-10-15,9,2.1,3.3
2014-10-15,9.3,NA,3.3
2014-10-23,0.1,2.1,1.7
2014-10-23,1,NA,1.7
2014-10-23,1.6,NA,1.7
2014-10-23,2.8,NA,1.7
2014-10-23,3.8,NA,1.7
