"Date","Depth","Temp_interp","DO_mgL_interp","Chla_interp","Turb_NTU_interp","SpCond_uScm_interp"
2013-06-25,8,10.064,9.97111,1.6941,0.5421,38.4280064539743
2013-06-25,9,9.989,8.24386,1.7417,1.0456,39.8509245679772
2013-06-25,9.3,9.9207,5.88298,1.829,1.6499,43.4039845509747
2013-06-27,0.1,25.412,9.16612,0.369,1.3478,38.9619446650418
2013-06-27,1,24.645,11.60754,1.2537,1.6331,38.951058653198
2013-06-27,1.6,22.4631,13.25455,2.5074,2.2206,38.1572379519413
2013-06-27,2.8,16.5411,8.53082,8.1252,3.127,40.0366940784116
2013-06-27,3.8,12.2457,7.17149,6.324,1.8681,38.4349630371318
2013-06-27,5,10.3672,11.16982,3.2175,0.8274,37.7314918393204
2013-06-27,5.2,10.2937,11.30782,2.3804,0.7267,37.5709674436724
2013-06-27,5.5,10.224,11.31306,2.2217,0.4078,37.4579299126304
2013-06-27,5.8,10.19,11.21699,2.067,0.5085,37.5430947570102
2013-06-27,6,10.1705,11.15534,2.0035,0.4917,37.6882178474686
2013-06-27,6.2,10.1482,11.05656,1.9361,0.5085,37.7514547681907
2013-06-27,8,10.0414,9.02548,1.5037,0.7267,39.297813100587
2013-06-27,9,9.9304,6.04118,1.821,2.4556,44.1095858711614
2013-06-27,9.3,9.9542,6.41608,2.2019,2.6906,43.4011358733557
2013-07-03,0.1,24.0484,8.03585,4.0547,1.801,37.5314022535434
2013-07-03,1,23.3826,9.6647,4.8957,2.3884,38.0209150343523
2013-07-03,1.6,21.7609,9.77291,5.102,2.7073,37.2853709610253
2013-07-03,2.8,18.7877,11.92082,4.5466,4.688,39.6134251933808
2013-07-03,3.8,13.8823,7.56839,9.1091,3.0766,39.0008629827137
2013-07-03,5,10.6886,10.39578,6.9032,1.6163,37.7416234830124
2013-07-03,5.2,10.518,10.48917,6.8199,1.3142,38.0020384471086
2013-07-03,5.5,10.3277,10.92485,4.8005,1.0456,37.613009864537
2013-07-03,5.8,10.2359,10.92567,2.9041,0.7267,37.6432128274638
2013-07-03,6,10.1828,10.85796,2.7216,0.7603,37.5858817736579
2013-07-03,6.2,10.1631,10.79923,2.067,0.7603,37.6217984544313
2013-07-03,8,10.0321,8.42135,1.1783,1.0121,39.3804813357929
2013-07-03,9,9.9384,5.41901,1.6108,1.1967,44.3130833936898
2013-07-03,9.3,9.9073,3.95082,1.3648,1.8345,46.6178193586852
2013-07-11,0.1,23.1061,6.2311,5.0782,8.9345,35.1169817895961
2013-07-11,1,22.9678,6.41619,8.3473,10.1766,35.2138378192302
2013-07-11,1.6,22.9477,6.59896,8.0458,9.2367,35.2139012501308
2013-07-11,2.8,20.6257,6.86911,7.9109,6.8196,36.5373410579009
2013-07-11,3.8,19.2663,6.85613,9.7637,5.7118,37.5971689537334
2013-07-11,5,13.3908,7.97146,5.7447,2.0695,43.5208114652262
2013-07-11,5.2,12.5805,8.25148,5.1377,2.0527,42.7619145068637
2013-07-11,5.5,12.0959,8.36328,4.0983,2.3381,42.994381563435
