time,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
2018-08-19 10:00,479.416393442623,440.826229508197,31.82,80.1,1.08926229508197,0,0
2018-08-19 11:00,439.293442622951,449.152459016393,28.18,71.71,0.990508196721312,0,0
2018-08-19 12:00,512.050819672131,445.732786885246,27.89,73.23,0.980295081967213,0,0
2018-08-19 13:00,491.859016393443,442.627868852459,31.38,70.35,1.10759016393443,0,0
2018-08-19 14:00,536.791803278689,440.8,31.72,71.01,1.17622950819672,0,0
2018-08-19 15:00,92.2750819672131,463.92131147541,33.12,81.1,1.31647540983607,0.085344,0
2018-08-19 16:00,326.030655737705,453.955737704918,31.5,100,1.16109836065574,0.195072,0
2018-08-19 17:00,115.380819672131,449.354098360656,27.85,96.9,1.27808196721311,0,0
2018-08-19 18:00,21.7064918032787,446.180327868852,26.93,97.9,0.748049180327869,0,0
2018-08-19 19:00,0,444.54262295082,25.41,98.2,1.01488524590164,0,0
2018-08-19 20:00,0,429.985245901639,24.62,99.3,1.13260655737705,0,0
2018-08-19 21:00,0,432.67868852459,23.64,97.8,1.32627868852459,0,0
2018-08-19 22:00,0,432.636065573771,22.59,95.4,1.1976393442623,0,0
2018-08-19 23:00,0,433.027868852459,22.32,98.6,1.78681967213115,0,0
2018-08-20 00:00,0,436.431147540984,22.08,98.6,0.930836065573771,0,0
2018-08-20 01:00,0,436.081967213115,22,98,0.891360655737705,0,0
2018-08-20 02:00,0,429.604918032787,22.11,95.5,1.15065573770492,0,0
2018-08-20 03:00,0,433.283606557377,21.58,96.6,0.897213114754098,0,0
2018-08-20 04:00,0,432.893442622951,21.51,96.2,0.983131147540984,0,0
2018-08-20 05:00,0,430.377049180328,21.21,97.1,1.41318032786885,0,0
2018-08-20 06:00,31.4702786885246,428.811475409836,21.43,92.4,1.24324590163934,0,0
2018-08-20 07:00,89.1429508196721,426.959016393443,21.4,92.9,0.870868852459016,0,0
2018-08-20 08:00,181.767213114754,432.290163934426,21.54,93.9,1.32414754098361,0,0
2018-08-20 09:00,364.203278688525,432.37868852459,21.69,93.1,1.9515737704918,0,0
2018-08-20 10:00,315.285245901639,440.27868852459,22.27,90.6,1.37916393442623,0,0
2018-08-20 11:00,160.601639344262,444.550819672131,22.49,91.8,1.70396721311475,0,0
2018-08-20 12:00,128.230491803279,441.275409836066,22.18,93.5,1.27855737704918,0,0
