Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,50,2013-06-27,6.2,NA,27.2,34,16,4,NA,0,0,0,0,0,0
FCR,50,2013-06-27,8,NA,71.6,38,17,6,NA,0,0,0,0,0,0
FCR,50,2013-07-03,0.1,NA,38.9,20,26,4,NA,0,0,0,0,0,0
FCR,100,2013-07-03,0.1,NA,68.9,12,30,11,NA,0,0,0,0,0,0
FCR,50,2013-07-03,0.8,NA,48,25,13,4,NA,0,0,0,0,0,0
FCR,50,2013-07-03,1.6,NA,49.9,5,9,4,NA,0,0,0,0,0,0
FCR,50,2013-07-03,2.8,NA,74.4,6,15,3,NA,0,0,0,0,0,0
FCR,50,2013-07-03,3.8,NA,42.6,16,42,2,NA,0,0,0,0,0,0
FCR,50,2013-07-03,5,NA,45.3,43,24,8,NA,0,0,0,0,0,0
FCR,50,2013-07-03,6.2,NA,33.5,31,18,0,NA,0,0,0,0,3,0
FCR,50,2013-07-03,8,NA,35.3,42,16,2,NA,0,0,0,0,0,0
FCR,50,2013-07-11,0.1,NA,55.5,25,18,4,NA,0,0,0,0,0,0
FCR,100,2013-07-11,0.1,NA,48.8,11,31,10,NA,0,0,0,0,0,0
FCR,50,2013-07-11,0.8,NA,118.8,3,4,22,NA,0,0,0,0,0,0
FCR,50,2013-07-11,1.6,NA,42.2,2,4,4,NA,0,0,0,0,0,0
FCR,50,2013-07-11,2.8,NA,28,4,3,3,NA,0,0,0,0,0,0
FCR,50,2013-07-11,3.8,NA,24.7,9,9,4,NA,0,0,0,0,0,0
FCR,50,2013-07-11,5,NA,20.5,84,21,3,NA,0,0,0,0,0,0
FCR,50,2013-07-11,6.2,NA,23,78,22,0,NA,0,0,0,0,3,0
FCR,50,2013-07-11,8,NA,23.8,176,27,3,NA,0,0,0,0,0,0
FCR,50,2013-07-15,0.1,NA,29.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-07-15,0.1,NA,35,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,0.8,NA,35.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,1.6,NA,27.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,2.8,NA,28.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,3.8,NA,21.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,5,NA,21.9,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,6.2,NA,17,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-15,8,NA,21.1,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2013-07-18,0.1,NA,NA,21,129,11,NA,0,0,0,0,0,0
FCR,50,2013-07-19,0.1,NA,43,19,23,5,NA,0,0,0,0,0,0
FCR,100,2013-07-19,0.1,NA,44.8,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-19,0.8,NA,48,11,10,4,NA,0,0,0,0,0,0
FCR,50,2013-07-19,1.6,NA,60.5,7,44,4,NA,0,0,0,0,0,0
FCR,50,2013-07-19,2.8,NA,35.5,6,8,3,NA,0,0,0,0,0,0
FCR,50,2013-07-19,3.8,NA,42.2,48,56,5,NA,0,0,0,0,0,0
FCR,50,2013-07-19,5,NA,44.8,82,38,4,NA,0,0,0,0,0,0
FCR,50,2013-07-19,6.2,NA,76.6,48,45,8,NA,0,0,0,0,0,0
FCR,50,2013-07-19,8,NA,51.3,135,77,4,NA,0,0,0,0,0,0
FCR,50,2013-07-22,0.1,NA,32.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,0.8,NA,37.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,1.6,NA,55.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,2.8,NA,89.7,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,3.8,NA,41.5,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,5,NA,26,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,6.2,NA,51.3,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-22,8,NA,38.2,NA,NA,NA,NA,0,0,0,0,0,0
FCR,50,2013-07-25,0.1,NA,36.2,12,9,6,NA,0,0,0,0,0,0
FCR,100,2013-07-25,0.1,NA,59.8,13,58,12,NA,0,0,0,0,0,0
FCR,50,2013-07-25,0.8,NA,70.7,6,5,6,NA,0,0,0,0,0,0
FCR,50,2013-07-25,1.6,NA,62.5,4,7,6,NA,0,0,0,0,0,0
FCR,50,2013-07-25,2.8,NA,23,15,12,2,NA,0,0,0,0,0,0
FCR,50,2013-07-25,3.8,NA,45.2,92,16,5,NA,0,0,0,0,0,0
FCR,50,2013-07-25,5,NA,62.6,19,20,16,NA,0,0,0,0,0,0
FCR,50,2013-07-25,6.2,NA,32.6,156,20,3,NA,0,0,0,0,0,0
FCR,50,2013-07-25,8,NA,98,30,15,10,NA,0,0,0,0,0,0
FCR,50,2013-07-29,0.1,NA,23.9,3,6,3,NA,0,0,0,0,0,0
FCR,100,2013-07-29,0.1,NA,52.6,0,66,13,NA,0,0,3,0,0,0
FCR,50,2013-07-29,0.8,NA,36.2,7,4,3,NA,0,0,0,0,0,0
FCR,50,2013-07-29,1.6,NA,76.4,3,4,4,NA,0,0,0,0,0,0
FCR,50,2013-07-29,2.8,NA,52.6,3,4,4,NA,0,0,0,0,0,0
FCR,50,2013-07-29,3.8,NA,38.6,7,6,4,NA,0,0,0,0,0,0
FCR,50,2013-07-29,5,NA,35.4,14,6,0,NA,0,0,0,0,3,0
FCR,50,2013-07-29,6.2,NA,40.3,54,14,3,NA,0,0,0,0,0,0
FCR,50,2013-07-29,8,NA,22.2,158,26,4,NA,0,0,0,0,0,0
FCR,50,2013-08-01,0.1,NA,51,5,4,4,NA,0,0,0,0,0,0
FCR,100,2013-08-01,0.1,NA,79.3,7,56,13,NA,0,0,0,0,0,0
FCR,50,2013-08-01,0.8,NA,51,60,0,4,NA,0,0,0,3,0,0
FCR,50,2013-08-01,1.6,NA,51.9,7,4,4,NA,0,0,0,0,0,0
FCR,50,2013-08-01,2.8,NA,68.5,4,5,3,NA,0,0,0,0,0,0
FCR,50,2013-08-01,3.8,NA,38.6,255,14,4,NA,0,0,0,0,0,0
FCR,50,2013-08-01,5,NA,40.2,107,16,3,NA,0,0,0,0,0,0
FCR,50,2013-08-01,6.2,NA,68.5,496,9,3,NA,0,0,0,0,0,0
FCR,50,2013-08-01,8,NA,53.5,919,11,4,NA,0,0,0,0,0,0
