Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC
FCR,100,2014-11-10,0.1,NA,NA,7,1,8,3.3,0,0,0,0,0,0
FCR,50,2014-12-10,0.1,181,15.9,4,0,4,NA,0,0,0,3,0,0
FCR,100,2014-12-10,0.1,NA,NA,7,0,6,NA,0,0,0,3,0,0
FCR,50,2015-02-06,0.1,130,7.8,11,3,5,NA,0,0,0,0,0,0
FCR,100,2015-02-06,0.1,113,10,14,16,5,1.7,0,0,0,0,0,0
FCR,50,2015-03-16,0.1,274,16.9,14,3,7,NA,0,0,0,0,0,0
FCR,100,2015-03-16,0.1,133,9.1,16,25,6,1.8,0,0,0,0,0,0
FCR,50,2015-03-31,0.1,170,18.4,NA,NA,NA,NA,0,0,0,0,0,0
FCR,100,2015-03-31,0.1,156,17.2,NA,NA,NA,1.7,0,0,0,0,0,0
FCR,50,2015-04-07,0.1,296,32.6,NA,NA,NA,2.1,0,0,0,0,0,0
FCR,100,2015-04-07,0.1,187,22,15,35,6,1.7,0,0,0,0,0,0
FCR,50,2015-04-13,0.1,148,16.3,13,1,7,1.7,0,0,7,0,7,0
FCR,100,2015-04-13,0.1,185,21.4,16,35,7,1.7,0,0,0,0,0,0
FCR,50,2015-04-16,0.1,145,17.2,12,2,5,NA,0,0,0,0,0,0
FCR,50,2015-04-19,0.1,165,17.9,9,3,10,NA,0,0,0,0,0,0
FCR,50,2015-04-21,0.1,153,17.8,7,4,5,2.2,0,0,0,0,0,0
FCR,100,2015-04-21,0.1,182,21.1,8,23,7,1.7,0,0,0,0,0,0
FCR,50,2015-04-25,0.1,138,11.2,5,4,6,NA,0,0,0,0,0,0
FCR,50,2015-04-28,0.1,149,15.4,7,0,6,1.9,0,0,0,3,0,0
FCR,100,2015-04-28,0.1,167,16.5,16,22,5,2.2,0,0,0,0,0,0
FCR,50,2015-05-01,0.1,139,15.7,6,5,5,NA,0,0,0,0,0,0
FCR,50,2015-05-05,0.1,139,12.1,18,4,8,1.9,0,0,0,0,0,0
FCR,100,2015-05-05,0.1,164,22.6,14,28,8,2,0,0,0,0,0,0
FCR,50,2015-05-11,0.1,196,11.2,13,3,7,1.9,0,0,0,0,0,0
FCR,100,2015-05-12,0.1,180,18.3,16,53,6,1.6,0,0,0,0,0,0
FCR,50,2015-05-18,0.1,129.5,13.5,12,2,6,2,0,0,0,0,0,0
FCR,100,2015-05-18,0.1,174,20.4,13,65,7,1.6,0,0,0,0,0,0
FCR,50,2015-05-25,0.1,106,12.9,4,3,5,2.3,0,0,0,0,0,0
FCR,100,2015-05-25,0.1,171,20.4,6,43,6,1.4,0,0,0,0,0,0
FCR,50,2015-06-01,0.1,NA,NA,38,2,7,1.9,0,0,0,0,0,0
FCR,100,2015-06-01,0.1,189,20.5,5,67,6,NA,0,0,0,0,0,0
FCR,100,2015-06-06,0.1,NA,NA,NA,NA,NA,1.5,0,0,0,0,0,0
FCR,50,2015-06-08,0.1,150,15,12,3,8,2.3,7,7,7,7,7,0
