Reservoir,Site,Date,Depth_m,Elevation,Temp_C,pH,Fe_mgL,Mn_mgL,DO_mgL,Turbidity,Color,Algae_cellsmL
FCR,50,9-May-13,3.6576,1651,12.3,6.8,0.24,0.001,8.08,1.13,27,418000
FCR,50,9-May-13,6.096,1643,10.1,6.6,0.68,0.08,6.41,2.89,34,638000
FCR,50,16-May-13,0,1663,18.3,6.6,0.61,0.019,7.48,2.33,51,1243000
FCR,50,16-May-13,1.524,1658,15.8,6.7,0.65,0.017,7.26,3.28,54,1815000
FCR,50,16-May-13,3.6576,1651,11.8,6.7,0.65,0.039,6.69,2.34,37,1243000
FCR,50,16-May-13,6.096,1643,10.9,6.6,0.45,0.088,6.87,1.39,26,737000
FCR,50,23-May-13,0,1663,19.6,6.6,0.49,0.026,8.45,1.65,49,1419000
FCR,50,23-May-13,1.524,1658,17,6.7,0.54,0.017,7.98,1.96,49,1243000
FCR,50,23-May-13,3.6576,1651,11.9,6.7,0.32,0.058,8.35,1.26,31,1023000
FCR,50,23-May-13,6.096,1643,11.3,6.7,0.43,0.099,8.73,1.56,41,1485000
FCR,50,30-May-13,0,1663,20.7,7,0.39,0.016,8.55,1.4,25,2101000
FCR,50,30-May-13,1.524,1658,21.8,7,0.41,0.013,7.96,1.41,36,880000
FCR,50,30-May-13,3.6576,1651,12.9,6.9,0.38,0.039,9.35,1.57,32,128700
FCR,50,30-May-13,6.096,1643,12,6.99,0.41,0.055,9.39,1.74,44,814000
FCR,50,6-Jun-13,0,1663,21.7,7.42,0.52,0.022,8.03,1.7,46,2332000
FCR,50,6-Jun-13,1.524,1658,17.3,7.35,0.46,0.026,9.53,1.61,47,1023000
FCR,50,6-Jun-13,3.6576,1651,11,7.08,0.32,0.059,10.06,1.39,42,748000
FCR,50,6-Jun-13,6.096,1643,10.5,7.04,0.35,0.076,10.68,1.46,52,880000
FCR,50,20-Jun-13,0,1663,22.3,7.21,0.52,0.02,8.72,1.69,51,1133000
FCR,50,20-Jun-13,1.524,1658,18.9,7.03,0.44,0.016,8.62,2.4,49,1089000
FCR,50,20-Jun-13,3.6576,1651,12.5,6.89,0.25,0.058,9.77,1.23,26,836000
FCR,50,20-Jun-13,6.096,1643,12.1,6.77,0.32,0.049,10.85,1.48,53,1452000
FCR,50,27-Jun-13,0,1663,23.8,8.21,0.59,0.018,10.17,2.25,62,1287000
FCR,50,27-Jun-13,1.524,1658,19.6,7.97,0.45,0.011,10.39,2.57,68,2112000
FCR,50,27-Jun-13,3.6576,1651,12.1,7.33,0.25,0.063,8.78,1.28,36,1465000
FCR,50,27-Jun-13,6.096,1643,11.4,7.13,0.26,0.077,9.42,1.3,32,1353000
FCR,50,3-Jul-13,0,1663,23.2,6.4,0.61,0.039,7.9,2.89,61,869000
FCR,50,3-Jul-13,1.524,1658,20,6.6,0.6,0,8.94,3.36,66,147400
FCR,50,3-Jul-13,3.6576,1651,14.2,6.4,0.3,0.068,8.37,1.82,39,1617000
FCR,50,3-Jul-13,6.096,1643,12.3,6.4,0.29,0.079,9,1.62,33,1045000
FCR,50,11-Jul-13,0,1663,21.3,6.92,0.47,0.019,7.99,7.46,111,638000
FCR,50,11-Jul-13,1.524,1658,19.6,6.84,0.57,0.019,7.57,4.8,78,759000
FCR,50,11-Jul-13,3.6576,1651,12.7,6.85,0.31,0.09,7.84,2.04,37,1309000
FCR,50,11-Jul-13,6.096,1643,11.5,6.92,0.45,0.318,7.72,1.85,41,858000
FCR,50,19-Jul-13,0,1663,21.7,6.7,0.54,0.019,8.34,5.22,74,1111000
FCR,50,19-Jul-13,1.524,1658,19.8,6.7,0.73,0.017,5.83,4.38,64,1056000
FCR,50,19-Jul-13,3.6576,1651,13.9,6.8,0.64,0.373,6.6,2.86,48,825000
FCR,50,19-Jul-13,6.096,1643,15.5,6.9,0.62,0.123,6,3.49,59,737000
FCR,50,25-Jul-13,0,1663,21.6,7.4,0.56,0.013,10.54,3.66,69,2442000
FCR,50,25-Jul-13,1.524,1658,17.6,7.4,0.6,0.042,4.22,3.37,55,2530000
FCR,50,25-Jul-13,3.6576,1651,13.5,7,0.93,0.686,5.64,3.18,58,737000
FCR,50,25-Jul-13,6.096,1643,11.5,6.8,1.06,1.05,4.41,4.02,63,1122000
FCR,50,1-Aug-13,0,1663,21.5,6.5,0.35,0.028,10.32,2.08,46,1859000
FCR,50,1-Aug-13,1.524,1658,15.8,6.24,0.6,0.079,3.05,2.31,48,2794000
FCR,50,1-Aug-13,3.6576,1651,11.6,6.33,2.96,1.34,3.6,7.01,130,1408000
FCR,50,1-Aug-13,6.096,1643,11.2,6.2,4.88,2,1.59,14.6,212,1980000
FCR,50,8-Aug-13,0,1663,21.8,6.6,0.47,0.017,9.84,2.07,51,1210000
FCR,50,8-Aug-13,1.524,1658,18.7,6.5,0.48,0.059,4.51,2.6,59,1993000
FCR,50,8-Aug-13,3.6576,1651,13.6,6.5,1.59,0.85,5.53,4.99,102,1298000
FCR,50,8-Aug-13,6.096,1643,12.9,6.7,1.66,0.902,5.42,5.28,94,2266000
FCR,50,15-Aug-13,0,1663,22,7.9,0.46,0.02,8.06,1.65,41,363000
FCR,50,15-Aug-13,1.524,1658,19.3,7.7,0.57,0.077,5.65,2.7,37,512000
FCR,50,15-Aug-13,3.6576,1651,14.9,7.4,1.45,0.681,5.67,4.81,67,330000
FCR,50,15-Aug-13,6.096,1643,12.1,7.3,1.65,0.973,6.21,6.46,108,748000
FCR,50,21-Aug-13,0,1663,20.9,6.3,0.47,0.014,7.28,1.12,37,374000
FCR,50,21-Aug-13,1.524,1658,22.2,6.4,0.46,0.013,4.96,1.22,36,561000
FCR,50,21-Aug-13,3.6576,1651,19.1,6.3,0.79,0.174,4.96,3.36,71,1672000
FCR,50,21-Aug-13,6.096,1643,13.3,6.2,1.64,0.906,6.08,5.87,103,1144000
FCR,50,29-Aug-13,0,1663,22.8,6.9,0.55,0.009,7.84,1.55,42,1771000
FCR,50,29-Aug-13,1.524,1658,19,6.73,1.1,0.195,4.95,3.68,92,1804000
FCR,50,29-Aug-13,3.6576,1651,13.9,6.74,1.49,0.786,6.8,5.54,100,2365000
FCR,50,29-Aug-13,6.096,1643,13.3,6.74,1.54,0.864,6.83,5.61,105,2244000
FCR,50,5-Sep-13,0,1663,22.9,7.1,0.45,0.014,9.49,1.33,25,715000
FCR,50,5-Sep-13,1.524,1658,18.7,6.8,0.92,0.132,6.81,4.34,60,1334000
FCR,50,5-Sep-13,3.6576,1651,14.1,6.8,1.3,0.838,9.66,5.41,66,1441000
FCR,50,5-Sep-13,6.096,1643,13.9,6.7,1.31,0.914,9.29,5.61,79,880000
FCR,50,12-Sep-13,0,1663,23.9,6.8,0.42,0.019,7.42,1.14,34,704000
FCR,50,12-Sep-13,1.524,1658,21,6.7,1.3,0.025,7.15,2.32,127,605000
FCR,50,12-Sep-13,3.6576,1651,15.5,6.6,1.27,0.694,7.89,5.31,111,1441000
FCR,50,12-Sep-13,6.096,1643,14.3,6.7,1.37,0.914,8.27,5.93,103,1540000
FCR,50,18-Sep-13,0,1663,20.1,6.8,0.43,0.003,7.38,1.01,35,396000
FCR,50,18-Sep-13,1.524,1658,19,6.7,0.67,0.11,6.43,2.67,58,616000
FCR,50,18-Sep-13,3.6576,1651,15,6.6,1.15,0.66,8.42,4.88,91,1804000
FCR,50,18-Sep-13,6.096,1643,13.6,6.4,1.39,0.744,9.02,6.01,108,1947000
FCR,50,26-Sep-13,0,1663,19.7,6.8,0.53,0.02,5.3,1.44,50,770000
FCR,50,26-Sep-13,1.524,1658,18.8,6.7,0.87,0.063,6.21,3.08,64,1111000
FCR,50,26-Sep-13,3.6576,1651,13.8,6.3,1.33,0.97,8.88,6.45,107,2343000
FCR,50,26-Sep-13,6.096,1643,13.5,6.1,1.36,1.006,9.13,6.8,113,979000
FCR,50,4-Oct-13,0,1663,19.4,6.7,0.51,0.022,8.18,1.53,32,869000
FCR,50,4-Oct-13,1.524,1658,18,6.7,0.89,0.066,6.28,3.36,58,682000
FCR,50,4-Oct-13,3.6576,1651,13.8,6.5,1.06,0.974,9.1,6.3,98,1441000
FCR,50,4-Oct-13,6.096,1643,13.5,6.7,1.25,1.062,8.48,7.19,114,1881000
FCR,50,10-Oct-13,0,1663,18.1,7.1,0.5,0.023,8.07,1.8,29,1606000
FCR,50,10-Oct-13,1.524,1658,18,7,0.51,0.033,8.24,1.79,40,1188000
FCR,50,10-Oct-13,3.6576,1651,14.6,6.8,0.76,0.637,9.34,3.81,31,1353000
FCR,50,10-Oct-13,6.096,1643,12.9,6.8,1.21,1.138,8.83,5.89,79,1078000
FCR,50,17-Oct-13,0,1663,18.5,7.6,0.52,0.04,8.14,1.69,41,1650000
FCR,50,17-Oct-13,1.524,1658,17.9,7.6,0.7,0.044,7.28,2.39,62,1232000
FCR,50,17-Oct-13,3.6576,1651,14.8,6.4,1.01,1.2,7.7,5.16,88,1826000
FCR,50,17-Oct-13,6.096,1643,14.5,6.4,1.12,1.456,7.67,5.67,107,1636000
FCR,50,24-Oct-13,0,1663,14.3,7.34,0.64,0.084,8.76,2.63,45,1276000
FCR,50,24-Oct-13,1.524,1658,13.5,7.37,0.64,0.073,8.79,2.68,45,1210000
FCR,50,24-Oct-13,3.6576,1651,11.8,6.87,0.95,1.048,9.84,5.47,69,715000
FCR,50,24-Oct-13,6.096,1643,12.3,6.7,1,0.968,10.23,5.73,79,671000
FCR,50,28-Oct-13,0,1663,13.2,6.6,0.56,0.155,9.14,2.71,60,
FCR,50,28-Oct-13,1.524,1658,12.9,6.5,0.54,0.152,9.26,2.49,60,
FCR,50,28-Oct-13,3.6576,1651,12.8,6.6,0.53,0.146,9.29,2.53,99,
FCR,50,28-Oct-13,6.096,1643,12.5,6.7,0.59,0.142,9.33,2.78,73,
FCR,50,7-Nov-13,0,1663,12.2,7.33,0.3,0.052,8.78,1.54,31,1771000
FCR,50,7-Nov-13,1.524,1658,12,7.29,0.32,0.059,8.79,1.47,17,1463000
FCR,50,7-Nov-13,3.6576,1651,11.7,7.26,0.32,0.057,8.29,1.74,27,1309000
FCR,50,7-Nov-13,6.096,1643,11.5,7.19,0.45,0.104,7.98,2.26,32,902000
FCR,50,14-Nov-13,0,1663,9,7.31,0.27,0.041,11.29,1.53,45,583000
FCR,50,14-Nov-13,1.524,1658,8.7,7.32,0.29,0.053,11.31,1.55,44,825000
FCR,50,14-Nov-13,3.6576,1651,8.5,7.32,0.28,0.037,11.09,1.52,44,825000
FCR,50,14-Nov-13,6.096,1643,8.5,7.33,0.31,0.061,11.41,1.56,35,792000
FCR,50,21-Nov-13,0,1663,8.7,7.5,0.28,0.083,10.03,1.36,28,605000
FCR,50,21-Nov-13,1.524,1658,8.5,7.6,0.3,0.04,10.13,1.34,29,418000
FCR,50,21-Nov-13,3.6576,1651,8.1,7.5,0.28,0.05,10,1.3,27,506000
FCR,50,21-Nov-13,6.096,1643,8.1,7.5,0.32,0.079,9.71,1.64,31,473000
FCR,50,5-Dec-13,0,1663,8.5,8,0.33,0.015,10.61,1.86,28,2211000
FCR,50,5-Dec-13,1.524,1658,7.1,8,0.32,0.012,10.6,1.77,24,1331000
FCR,50,5-Dec-13,3.6576,1651,7.3,8,0.31,0.058,10.44,1.74,49,902000
FCR,50,5-Dec-13,6.096,1643,7,7.9,0.3,0.019,10.59,1.73,29,715000
FCR,50,19-Dec-13,0,1663,5.6,7.7,0.37,0.006,11.77,1.84,47,737000
FCR,50,19-Dec-13,1.524,1658,5,7.7,0.38,0.012,11.55,2.14,52,649000
FCR,50,19-Dec-13,3.6576,1651,5.1,7.6,0.38,0.002,11.71,2.04,53,715000
FCR,50,19-Dec-13,6.096,1643,4.9,7.6,0.42,0.036,11.5,2.4,53,825000
FCR,50,16-Jan-14,0,1663,3.5,7.9,0.46,0.048,15.31,2.31,28,583000
FCR,50,16-Jan-14,1.524,1658,3.2,8,0.44,0.05,15.42,2.36,41,517000
FCR,50,16-Jan-14,3.6576,1651,3.1,8,0.41,0.079,15.43,2.33,35,517000
FCR,50,16-Jan-14,6.096,1643,3.5,8,0.45,0.02,12.87262908,2.31,34,330000
FCR,50,23-Jan-14,0,1663,4.3,7,0.45,0.034,9.48,2.12,31,2761000
FCR,50,23-Jan-14,1.524,1658,4.5,7,0.47,0.038,9.3,2.21,43,2068000
FCR,50,23-Jan-14,3.6576,1651,4.1,6.8,0.52,0.026,9.36,2.42,40,2343000
FCR,50,23-Jan-14,6.096,1643,4.2,6.7,1.17,0.44,6.15,5.16,77,3344000
FCR,50,20-Mar-14,0,1663,8.1,7.93,0.46,0.016,9.01,2.46,10,473000
FCR,50,20-Mar-14,1.524,1658,7.6,7.91,0.54,0.035,9.18,2.49,16,539000
FCR,50,20-Mar-14,3.6576,1651,7.5,7.83,0.48,0.022,9.06,2.72,23,572000
FCR,50,20-Mar-14,6.096,1643,7,7.81,0.49,0.019,9.05,2.76,24,330000
FCR,50,10-Apr-14,0,1663,11.5,7.72,0.28,0.017,11.49,1.56,38,440000
FCR,50,10-Apr-14,1.524,1658,9.6,7.64,0.27,0.014,11.49,1.61,42,550000
FCR,50,10-Apr-14,3.6576,1651,8.7,7.6,0.37,0.015,10.84,1.48,33,198000
FCR,50,10-Apr-14,6.096,1643,8.1,7.49,0.34,0.03,10.5,1.67,29,308000
FCR,50,24-Apr-14,0,1663,14.6,6.8,0.33,0.031,9.02,1.39,32,308000
FCR,50,24-Apr-14,1.524,1658,12.6,6.8,0.39,0.017,9.34,1.54,28,231000
FCR,50,24-Apr-14,3.6576,1651,9.6,6.7,0.47,0.096,8.34,2.15,44,517000
FCR,50,24-Apr-14,6.096,1643,8.5,6.81,0.34,0.137,7.42,1.66,33,319000
FCR,50,8-May-14,0,1663,18.8,7.2,0.36,0.024,8.96,1.55,39,649000
FCR,50,8-May-14,1.524,1658,15.2,7.2,0.26,0.027,8.57,1.42,26,1045000
FCR,50,8-May-14,3.6576,1651,12.9,7.26,0.32,0.106,7.82,1.49,29,869000
FCR,50,8-May-14,6.096,1643,10.2,7.24,0.31,0.136,7.08,1.46,30,704000
FCR,50,30-May-14,0,1663,19.5,7.42,0.41,0.011,8.86,1.44,36,869000
FCR,50,30-May-14,1.524,1658,15.2,7.36,0.44,0.034,8.32,1.68,37,1177000
FCR,50,30-May-14,3.6576,1651,11.1,7.4,0.39,0.143,9.23,1.66,41,1287000
FCR,50,30-May-14,6.096,1643,10.6,7.35,0.35,0.157,8.91,1.61,68,1496000
FCR,50,19-Jun-14,0,1663,21.6,6.82,0.39,0.014,8.75,1.56,39,825000
FCR,50,19-Jun-14,1.524,1658,15,6.82,0.56,0.143,5.54,2.02,48,1336000
FCR,50,19-Jun-14,3.6576,1651,11.9,6.78,1.15,0.559,6.16,3.46,51,803000
FCR,50,19-Jun-14,6.096,1643,13,6.79,2.26,1.066,5.33,8.74,116,935000
FCR,50,3-Jul-14,0,1663,24,6.9,0.35,0.02,7.96,1.29,19,814000
FCR,50,3-Jul-14,1.524,1658,20.3,6.82,0.4,0.064,6.27,1.51,24,1254000
FCR,50,3-Jul-14,3.6576,1651,16,6.78,1.96,0.756,5.2,6.52,208,1463000
FCR,50,3-Jul-14,6.096,1643,14.1,6.8,2.15,0.94,4.93,8.36,103,1936000
FCR,50,17-Jul-14,0,1663,24.8,6.39,0.33,0.015,7.56,0.929,28,627000
FCR,50,17-Jul-14,1.524,1658,21.4,6.41,0.31,0.063,6.49,1.51,46,1133000
FCR,50,17-Jul-14,3.6576,1651,12.5,6.33,3.34,1.27,6.37,12.6,175,935000
FCR,50,17-Jul-14,6.096,1643,12.1,6.16,3.32,1.1,6.69,13.5,178,528000
FCR,50,24-Jul-14,0,1663,25.1,6.7,0.32,0.027,6.33,1.2,31,627000
FCR,50,24-Jul-14,1.524,1658,20.6,6.5,0.41,0.16,4.92,1.98,50,1243000
FCR,50,24-Jul-14,3.6576,1651,13.3,6.5,3.9,1.354,5.37,15.1,202,1573000
FCR,50,24-Jul-14,6.096,1643,12.9,6.5,4,1.298,5.51,15.1,212,1133000
FCR,50,30-Jul-14,0,1663,23.7,6.8,0.02,0.025,5.95,1.1,33,682000
FCR,50,30-Jul-14,1.524,1658,22,6.7,0.32,0.032,5.3,1.68,47,1221000
FCR,50,30-Jul-14,3.6576,1651,15.3,6.5,3.5,1.256,5.86,14.1,204,1034000
FCR,50,30-Jul-14,6.096,1643,14.2,6.6,4.38,1.392,6.07,16,212,1045000
FCR,50,7-Aug-14,0,1663,24.3,8.04,0.27,0.018,7.92,1.03,11,440000
FCR,50,7-Aug-14,1.524,1658,21.6,7.55,0.48,0.054,5.75,1.72,119,1166000
FCR,50,7-Aug-14,3.6576,1651,14.9,6.7,4.26,1.59,5.17,18.1,215,627000
FCR,50,7-Aug-14,6.096,1643,14.3,6.67,5.94,2.108,2.8,25.2,311,2926000
FCR,50,14-Aug-14,0,1663,21.8,7.09,0.5,0.007,8.28,1.43,35,1276000
FCR,50,14-Aug-14,1.524,1658,19.7,6.62,0.51,0.07,4.38,3.1,55,891000
FCR,50,14-Aug-14,3.6576,1651,13.7,6.58,5.5,2.128,3.88,27.4,322,2761000
FCR,50,14-Aug-14,6.096,1643,13,6.56,7.88,2.768,1.23,34.7,472,3069000
FCR,50,21-Aug-14,0,1663,22.7,6.77,0.24,0.007,7.77,1.41,32,990000
FCR,50,21-Aug-14,1.524,1658,21.5,6.68,0.38,0.007,6.14,1.94,44,891000
FCR,50,21-Aug-14,3.6576,1651,14.5,6.43,3.64,1.404,2.88,17.8,242,1749000
FCR,50,21-Aug-14,6.096,1643,14.4,6.89,4.28,1.92,3.03,23.1,298,2310000
FCR,50,28-Aug-14,0,1663,22.9,7.3,0.16,0.011,7.05,2.05,48,2046000
FCR,50,28-Aug-14,1.524,1658,22,6.9,0.22,0.039,3.89,2.38,58,1771000
FCR,50,28-Aug-14,3.6576,1651,15.4,6.44,2.72,1.672,3.8,17,215,2783000
FCR,50,28-Aug-14,6.096,1643,14.7,6.46,2.92,1.812,3.71,19.7,229,3113000
FCR,50,4-Sep-14,0,1663,25.1,7.26,0.23,0.011,7.49,1.16,13,792000
FCR,50,4-Sep-14,1.524,1658,22.3,6.58,0.33,0.1,4.55,1.67,50,2277000
FCR,50,4-Sep-14,3.6576,1651,16.5,6.38,3.68,1.96,4,19.6,217,1804000
FCR,50,4-Sep-14,6.096,1643,15.1,6.49,3,1.924,4.81,20.7,222,1331000
FCR,50,11-Sep-14,0,1663,23.3,7.03,0.39,0.015,6.78,1.81,35,1936000
FCR,50,11-Sep-14,1.524,1658,20.5,6.38,0.58,0.247,4.18,2.76,107,2240000
FCR,50,11-Sep-14,3.6576,1651,15.3,6.32,3.34,1.872,3.78,22.1,334,2849000
FCR,50,11-Sep-14,6.096,1643,14,6.46,3.58,2.084,4.05,23.3,264,891000
FCR,50,26-Nov-14,0,1663,7.9,8.2,0.21,0.029,10.55,2.94,47,21274000
FCR,50,26-Nov-14,1.524,1658,6.6,8.1,0.22,0.031,10.85,2.59,53,17083000
FCR,50,26-Nov-14,3.6576,1651,6.1,8.1,0.2,0.029,10.62,2.52,42,23419000
FCR,50,26-Nov-14,6.096,1643,5.7,7.9,0.2,0.038,10.59,2.57,49,15400000
FCR,50,5-Dec-14,0,1663,6.5,7.11,0.2,0.031,10.84,3.38,32,19657000
FCR,50,5-Dec-14,1.524,1658,6.3,7.13,0.22,0.033,10.59,3.61,47,11847000
FCR,50,5-Dec-14,3.6576,1651,6.4,7.12,0.18,0.042,10.64,3.67,50,8921000
FCR,50,5-Dec-14,6.096,1643,6.3,7.11,0.22,0.063,10.89,3.73,50,13167000
FCR,50,18-Dec-14,0,1663,5.4,7.38,0.23,0.022,11.28,2.44,36,8646000
FCR,50,18-Dec-14,1.524,1658,4.8,7.39,0.24,0.018,11.34,2.79,29,9284000
FCR,50,18-Dec-14,3.6576,1651,4.6,7.38,0.25,0.014,11.45,2.83,59,5852000
FCR,50,18-Dec-14,6.096,1643,4.2,7.3,0.24,0.022,11.56,2.53,32,5808000
FCR,50,27-Mar-15,0,1663,10.8,7.1,0.44,0.03,11.56,2.15,53,2288000
FCR,50,27-Mar-15,1.524,1658,8.3,7.1,0.45,0.041,12.3,2.5,57,2915000
FCR,50,27-Mar-15,3.6576,1651,6.9,7.1,0.51,0.051,11.65,3.44,53,3113000
FCR,50,27-Mar-15,6.096,1643,6.5,7,0.66,0.126,10.5,3.78,62,1430000
FCR,50,21-May-15,0,1663,21.4,7,0.21,0.02,7.36,1,39,1133000
FCR,50,21-May-15,1.524,1658,14.6,6.9,0.37,0.03,8.34,1.72,48,1397000
FCR,50,21-May-15,3.6576,1651,10.6,6.7,0.75,0.294,6.84,3.73,70,1045000
FCR,50,21-May-15,6.096,1643,12.5,6.8,0.61,0.234,6.47,3.16,60,1529000
FCR,50,5-Jun-15,0,1663,19.8,6.7,0.31,0.063,7.4,2,35,1386000
FCR,50,5-Jun-15,1.524,1658,18.3,6.6,0.36,0.113,7.52,2.14,53,1930000
FCR,50,5-Jun-15,3.6576,1651,14.4,6.5,0.75,0.415,6.85,4.11,66,1265000
FCR,50,5-Jun-15,6.096,1643,11.5,6.5,1.16,0.846,4.92,3.52,86,1155000
FCR,50,19-Jun-15,0,1663,26.9,7.3,0.3,0.012,5.73,1.89,41,7942000
FCR,50,19-Jun-15,1.524,1658,20.8,7,0.25,0.024,9.107545814,1.78,43,4906000
FCR,50,19-Jun-15,3.6576,1651,15.1,6.5,1.44,1.156,4.96,6.35,82,880000
FCR,50,19-Jun-15,6.096,1643,14.3,6.6,1.34,1.204,8.47,6.27,83,407000
FCR,50,25-Jun-15,0,1663,24.7,7.4,0.67,0.116,6.6,2.7,47,5016000
FCR,50,25-Jun-15,1.524,1658,22.7,7.2,0.73,0.196,6.86,3.38,58,5126000
FCR,50,25-Jun-15,3.6576,1651,18.9,7.2,0.78,0.245,7.18,4.11,72,5071000
FCR,50,25-Jun-15,6.096,1643,14.7,7.2,1.86,1.223,5.73,8.94,104,1353000
FCR,50,30-Jun-15,0,1663,24.3,,0.3,0.007,8.25,,,2926000
FCR,50,30-Jun-15,1.524,1658,21.8,,0.35,0.032,8.927204324,,,5500000
FCR,50,30-Jun-15,3.6576,1651,17.7,,1.68,0.75,3.38,,,2321000
FCR,50,30-Jun-15,6.096,1643,15.5,,2.06,1.53,7.45,,,605000
FCR,50,15-Jul-15,0,1663,24.7,7.71,0.15,,9.73,1.57,25,1199000
FCR,50,15-Jul-15,1.524,1658,23.1,7.63,0.31,0.027,8.04,2.22,45,3080000
FCR,50,15-Jul-15,3.6576,1651,17.6,7.3,3.53,1.212,4.95,16,195,1155000
FCR,50,15-Jul-15,6.096,1643,16.4,7,3.06,1.546,8.94,14.5,177,1716000
FCR,50,20-Jul-15,0,1663,26.8,7,0.28,0.013,6.85,1.78,36,1551000
FCR,50,20-Jul-15,1.524,1658,22.2,6.5,0.35,0.074,2.66,2.06,49,2145000
FCR,50,20-Jul-15,3.6576,1651,17.9,6.3,3.18,1.375,5.64,15.7,183,1353000
FCR,50,20-Jul-15,6.096,1643,17,6.5,3.01,1.572,7.39,14.8,165,1243000
FCR,50,3-Aug-15,0,1663,26.6,7.4,0.4,0.011,6.95,1.44,43,2695000
FCR,50,3-Aug-15,1.524,1658,25,7.4,0.41,0.012,8.15,1.96,53,1738000
FCR,50,3-Aug-15,3.6576,1651,16.1,6.4,2.6,1.05,1.9,9.6,140,1716000
FCR,50,3-Aug-15,6.096,1643,18.2,6.3,2.32,1.16,6.57,10.6,130,1496000
FCR,50,21-Aug-15,0,1663,25.2,8.01,0.31,0.016,6.29,1.84,39,7150000
FCR,50,21-Aug-15,1.524,1658,25.2,7.04,0.31,0.005,6.1,1.9,40,5027000
FCR,50,21-Aug-15,3.6576,1651,16.2,6.21,3.04,1.532,5.07,13.7,187,495000
