"Date","Site","Depth","Temp_C","DO_mgL","Chla_ugL","Turb_NTU","SpCond_uScm","TP_ugL","TN_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","TP_inf","TN_inf","NH4_inf","NO3NO2_inf","SRP_inf","DOC_inf","Total_chlorophyll","Green_algae","Cyanobacteria","Diatoms","Cryptophyta","Kd","TN_TP","NH4NO3NO2_SRP","TN_TP_inf","NH4NO3_SRP_inf","mean_flow","TN_load","TP_load","NH4_load","NO3NO2_load","SRP_load","DOC_load","mean_wrt","Temp_inf_mean","Temp_inf_max","Temp_inf_min","flow_max","flow_min","flow_median","AirTemp_max","AirTemp_mean","AirTemp_median","Rain_sum","RelHum_max","RelHum_mean","RelHum_median","ShortWave_max","ShortWave_mean","WindSpeed_max","WindSpeed_mean","WindSpeed_median","week_julian","week_series","week_cum"
"2013-09-18",50,0.1,20.3273,7.8199,2.2733,0.7603,41.22842058,28,NA,6,6,4,NA,40.8,NA,7,18,10,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2.5,0.0197627379087984,NA,0.806319706678974,0.138339165361589,0.355729282358371,0.197627379087984,NA,181.861481406224,15.810625,16.63,14.81,0.0221628338211657,0.0176092023684709,0.0198424387431003,21.64000854,15.900426483375,17.40004883,0,86.80699032,72.3809185479167,75.204335355,571.0159912,174.008082070417,3.553266155,2.390465704875,2.338309777,37,21,21
"2013-09-25",50,0.1,19.4967,8.20233,3.162,1.3813,41.05397132,11.2,NA,13,4,5,NA,46.7,NA,7.25,14.5,9.75,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,2.23076923076923,0.0199446608690428,NA,0.931415662584298,0.14459879130056,0.28919758260112,0.194460443473167,NA,180.282856041249,16.4639583333333,17.06,15.75,0.0231146773464087,0.0180487129788194,0.0198424387431003,23.67000732,19.4437512708333,19.38500366,0.00546,85.04359611,69.7730600983333,69.505007545,654.2999878,162.926374555417,2.526994341,1.36142989104167,1.2864981645,38,22,22
"2013-10-04",50,0.1,18.85436667,8.344043333,3.820566667,1.437266667,41.10124779,12.03333333,NA,12,4,5,NA,NA,NA,7.5,11,9.5,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,1.94736842105263,0.0179059326728252,NA,NA,0.134294495046189,0.196965259401077,0.170106360391839,NA,200.964262471774,17.9701041666667,19.13,17.13,0.0198424387431003,0.0158877345258808,0.0180487129788187,28.04000244,22.7675033566667,22.544992065,0,87.43801452,68.5953100933333,67.94307202,608.8729858,173.269041379167,3.36808554,2.435140192125,2.5290352765,39,23,23
"2013-10-11",50,0.1,18.21203333,8.485756667,4.479133333,1.493233333,41.14852425,12.86666667,NA,11,4,5,NA,NA,NA,7.75,7.5,9.25,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,1.64864864864865,0.019571843381382,NA,NA,0.151681786205711,0.146788825360365,0.181039551277784,NA,183.79670440535,15.8492708333333,16.69,15.06,0.0245672288112431,0.0171733183958222,0.0193887113723248,21.45003662,16.61376215625,16.535028075,0,98.17345918,86.8392380954167,91.0214364,354.2449951,88.0824995045833,3.719892468,2.88664797258333,2.8408917535,40,24,24
"2013-10-16",50,0.1,17.5697,8.62747,5.1377,1.5492,41.19580072,13.7,NA,10,4,5,NA,NA,NA,8,4,9,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,1.33333333333333,0.0173979368802731,NA,NA,0.139183495042185,0.0695917475210926,0.156581431922458,NA,207.058604579946,15.4340625,16.31,14.63,0.0202996512356182,0.0150493911148346,0.0171733183958222,23.2499939,17.93875529125,18.55500183,0.0002712,97.24288764,75.3528904641667,74.20707344,540.5150146,142.5655037575,2.965687056,1.48565647183333,1.3524031775,41,25,25
"2013-10-23",50,0.1,15.1589,8.43282,4.8838,2.6066,41.59702035,13.48333333,NA,8,5,5,NA,NA,NA,9,4,9,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,1.44444444444444,0.0179711984780757,NA,NA,0.161740786302681,0.0718847939123028,0.161740786302681,NA,201.755077939596,12.3072916666667,13.19,10.38,0.0275594058891763,0.014226335107487,0.0176092023684717,12.76003418,9.812507883875,10.299996945,0.0137184,95.48921023,74.05133928125,73.14887521,407.5079956,106.761916644167,9.56912759,5.39891974216667,5.7206390045,42,26,26
"2013-10-30",50,0.1,13.3158,9.20845,5.4393,2.1702,42.26549537,13.26666667,NA,20,7,4,NA,NA,NA,14,8,16,NA,NA,NA,NA,NA,NA,NA,NA,6.75,NA,1.375,0.0165826301949148,NA,NA,0.232156822728807,0.132661041559318,0.265322083118636,NA,217.278184720622,13.1554166666667,14.06,12.44,0.019388711372324,0.013820629671959,0.0163125528597479,18.90999756,15.4125012716667,15.4400116,0.0126096,97.19163268,87.2054713591667,87.132150545,327.0270081,73.571625035,3.735304657,2.89218381066667,2.9976712095,43,27,27
"2014-05-06",50,0.1,16.4702,9.47371,0.5436,1.3478,32.98461432,12,182.8333333,16.5,5,2.833333333,1.9,NA,NA,13.33333333,13,1.833333333,2,1.04,0.206666667,0.47,0.16,0,NA,15.2361111083333,7.58823529501038,NA,14.3636363644298,0.0943125068448838,NA,NA,1.25750009095074,1.22606258898349,0.172906262517516,0.188625013689768,38.0600833833157,14.0163541666667,15.75,12.75,0.0978695176783351,0.0894660807348132,0.094784671619937,25.18999634,17.8741737358333,18.449990845,0.0004392,92.21817302,74.87603519875,76.659817645,724.9790039,252.896497607958,4.016877063,1.79240631333333,1.321295136,17,1,28
"2014-05-07",50,0.1,17.578,9.01656,0.6745,1.2638,33.8776575,11.6,177.6666667,14,4,2.666666667,1.9,NA,NA,11.66666667,13,1.666666667,2,1.41,0.413333333,0.27,0.32,0,NA,15.3160919568966,6.74999999915625,NA,14.79999999904,0.0954584109493834,NA,NA,1.11368146139433,1.24095934234198,0.159097351614125,0.190916821898767,37.5907736178279,14.5348958333333,15.81,13.88,0.0986458612251129,0.0932546425335454,0.0955527929721967,26.39998779,19.88750356,19.72001038,0,97.2560539,82.5820103908333,85.750406455,769.5050049,272.990795253917,5.48206153,3.53151273345833,3.3779333715,18,2,29
"2014-05-19",50,0.1,17.4641,8.81669,0.8173,1.6331,32.12006,12.66,181,4,2,3,2,NA,NA,11,14,4,1.9,1.36,1.1675,0.085,1.395,0.18,NA,14.2969984202212,2,NA,6.25,0.0959793518121853,NA,NA,1.05577286993404,1.34371092537059,0.383917407248741,0.182360768443152,37.3864128848321,15.476875,16.38,14.69,0.0986458612251129,0.0932546425335454,0.096322978102235,19.95998535,14.667921957,15.36000977,0,68.92170242,59.2186224475,60.05292014,840.4260254,272.888629674583,3.297104745,1.92291672975,1.773425265,19,3,30
