"Date","Depth","TPinf_interp"
2013-10-23,6,NA
2013-10-23,6.2,NA
2013-10-23,8,NA
2013-10-23,9,NA
2013-10-23,9.3,NA
2013-10-30,0.1,NA
2013-10-30,1,NA
2013-10-30,1.6,NA
2013-10-30,2.8,NA
2013-10-30,3.8,NA
2013-10-30,5,NA
2013-10-30,5.2,NA
2013-10-30,5.5,NA
2013-10-30,5.8,NA
2013-10-30,6,NA
2013-10-30,6.2,NA
2013-10-30,8,NA
2013-10-30,9,NA
2013-10-30,9.3,NA
2013-11-06,0.1,NA
2013-11-06,1,NA
2013-11-06,1.6,NA
2013-11-06,2.8,NA
2013-11-06,3.8,NA
2013-11-06,5,NA
2013-11-06,5.2,NA
2013-11-06,5.5,NA
2013-11-06,5.8,NA
2013-11-06,6,NA
2013-11-06,6.2,NA
2013-11-06,8,NA
2013-11-06,9,NA
2013-11-06,9.3,NA
2013-11-20,0.1,NA
2013-11-20,1,NA
2013-11-20,1.6,NA
2013-11-20,2.8,NA
2013-11-20,3.8,NA
2013-11-20,5,NA
2013-11-20,5.2,NA
2013-11-20,5.5,NA
2013-11-20,5.8,NA
2013-11-20,6,NA
2013-11-20,6.2,NA
2013-11-20,8,NA
2013-11-20,9,NA
2013-11-20,9.3,NA
2013-12-04,0.1,NA
2013-12-04,1,NA
2013-12-04,1.6,NA
2013-12-04,2.8,NA
2013-12-04,3.8,NA
2013-12-04,5,NA
2013-12-04,5.2,NA
2013-12-04,5.5,NA
2013-12-04,5.8,NA
2013-12-04,6,NA
2013-12-04,6.2,NA
2013-12-04,8,NA
2013-12-04,9,NA
2013-12-04,9.3,NA
2014-05-05,0.1,NA
2014-05-05,1,NA
2014-05-05,1.6,NA
2014-05-05,2.8,NA
2014-05-05,3.8,NA
2014-05-05,5,NA
2014-05-05,5.2,NA
2014-05-05,5.5,NA
2014-05-05,5.8,NA
2014-05-05,6,NA
2014-05-05,6.2,NA
2014-05-05,8,NA
2014-05-05,9,NA
2014-05-05,9.3,NA
2014-05-06,0.1,NA
2014-05-06,1,NA
