"Date","Depth_m","Temp_C","Chla_ugL","Turb_NTU","Cond_uScm","Spec_Cond_uScm","DO_mgL","DO_pSat","pH","ORP_mV","PAR","Salinity","Descent.Rate..m.s.","Density_mg_m3","Flag","Pressure..PSI."
2019-06-06 06:36:59,5,9.5938,5.9057,1.3469,23.823319,34.441,4.4543,39.062,8.695,252.6852,10.812,0.0179,1,999.7732,0,NA
2019-06-06 06:36:59,5.2,9.5717,3.2964,2.933,23.835852,34.48,4.5121,39.573,8.688,253.1016,9.3412,0.0179,1,999.7774,0,NA
2019-06-06 06:36:59,5.5,9.5707,2.3694,3.8559,23.797433,34.443,4.5258,39.688,8.669,257.5309,7.0113,0.0179,1,999.779,0,NA
2019-06-06 06:36:59,5.8,9.5638,2.3122,3.7694,23.764013,34.352,4.4849,39.318,8.635,253.1016,4.9716,0.0179,1,999.7796,0,NA
2019-06-06 06:36:59,6,9.5491,2.2397,4.0289,23.836577,34.496,4.4957,39.41,8.624,257.1524,3.751,0.0179,1,999.7823,0,NA
2019-06-06 06:36:59,6.2,9.5499,1.9383,3.8992,23.769686,34.374,4.5009,39.443,8.611,258.1367,2.8553,0.0179,1,999.7833,0,NA
2019-06-06 06:36:59,8,9.5105,1.9383,4.2452,23.792847,34.496,4.4808,39.242,8.522,261.0895,0.22164,0.0179,1,999.795,0,NA
2019-06-06 06:36:59,9,9.5075,1.7743,4.2164,23.767674,34.416,4.4626,39.08,8.477,260.7867,0.12368,0.0179,1,999.8,0,NA
2019-06-06 06:36:59,9.3,9.5236,1.5836,4.1731,23.80461,34.469,4.4274,38.816,8.461,264.156,0.12372,0.0179,1,999.7989,0,NA
2019-06-06 13:21:06,0.1,24.2876,0.9045,18.1315,33.485032,33.935,7.954,94.702,9.1,246.6659,356.34,0.023,1,997.2395,0,NA
2019-06-06 13:21:06,1,23.9069,1.3776,17.9008,33.371329,34.099,7.1937,84.85,8.977,252.9881,237.09,0.023,1,997.3425,0,NA
2019-06-06 13:21:06,1.6,22.8374,2.0032,16.9058,32.269762,33.451,9.6904,109.932,8.911,256.1302,187.8,0.0225,1,997.5198,0,NA
2019-06-06 13:21:06,2.8,17.2354,1.698,16.0406,27.201669,31.929,12.2354,126.133,8.878,273.2796,91.783,0.0201,1,998.6949,0,NA
2019-06-06 13:21:06,3.8,12.7561,2.6174,13.5748,24.460147,32.174,8.7321,80.98,8.845,287.9682,60.019,0.0185,1,999.4111,0,NA
2019-06-06 13:21:06,5,10.253,5.4899,12.6375,24.077083,34.159,4.5047,39.82,8.775,297.3189,29.451,0.0181,1,999.7162,0,NA
2019-06-06 13:21:06,5.2,9.9933,6.0468,12.1328,24.085817,34.316,4.415,38.914,8.764,300.3853,26.18,0.0181,1,999.7318,0,NA
2019-06-06 13:21:06,5.5,9.7511,3.6664,12.8827,24.171236,34.758,4.4981,39.571,8.749,301.4075,19.789,0.0181,1,999.7617,0,NA
2019-06-06 13:21:06,5.8,9.6911,2.7394,12.6231,24.172379,34.791,4.5104,39.656,8.727,304.8525,15.619,0.0181,1,999.7694,0,NA
2019-06-06 13:21:06,6,9.6775,2.1901,13.2576,24.078783,34.739,4.4911,39.472,8.714,306.7075,12.267,0.0181,1,999.7725,0,NA
2019-06-06 13:21:06,6.2,9.6601,2.0795,12.3636,24.165836,34.86,4.5119,39.636,8.697,307.5404,9.2247,0.0181,1,999.7736,0,NA
2019-06-06 13:21:06,8,9.5632,1.8697,6.9994,24.053694,34.766,4.53,39.721,8.587,315.869,0.94629,0.018,1,999.7908,0,NA
2019-06-06 13:21:06,9,9.5432,1.6179,4.8509,24.035689,34.789,4.4604,39.092,8.535,319.7683,0.18986,0.018,1,999.7975,0,NA
2019-06-06 13:21:06,9.3,9.5425,1.5759,4.4183,24.089291,34.869,4.464,39.117,8.52,316.7775,0.13005,0.0181,1,999.7988,0,NA
2019-06-06 15:56:07,0.1,25.2851,0.7138,0.871,34.258281,34.047,9.2919,110.285,8.806,272.7496,425.83,0.0233,1,996.9891,0,NA
2019-06-06 15:56:07,1,23.1468,1.4424,0.9719,32.703937,33.957,9.7159,112.854,8.752,269.456,360.63,0.0227,1,997.5221,0,NA
2019-06-06 15:56:07,1.6,22.148,2.0566,1.3469,31.581658,33.423,10.8881,123.419,8.711,270.6295,412.32,0.0222,1,997.7448,0,NA
2019-06-06 15:56:07,2.8,16.5,2.2511,1.0873,26.868994,32.102,11.8587,118.5,8.693,284.8639,149.07,0.02,1,998.8281,0,NA
2019-06-06 15:56:07,3.8,12.7733,2.7318,0.5538,24.562978,32.451,9.172,85.381,8.677,295.1989,76.136,0.0186,1,999.4252,0,NA
2019-06-06 15:56:07,5,10.6356,5.8103,0.7989,24.314712,33.974,4.2882,37.809,8.633,307.5782,38.113,0.0183,1,999.6669,0,NA
2019-06-06 15:56:07,5.2,9.9177,6.3787,1.1017,24.284452,34.587,4.504,39.603,8.627,307.0482,31.187,0.0182,1,999.731,0,NA
2019-06-06 15:56:07,5.5,9.6429,6.2337,1.5343,24.243233,34.933,4.6869,41.15,8.61,308.8654,24.614,0.0182,1,999.7696,0,NA
2019-06-06 15:56:07,5.8,9.6126,3.2354,2.7888,24.273113,35.076,4.7107,41.34,8.593,314.6575,19.644,0.0182,1,999.7763,0,NA
2019-06-06 15:56:07,6,9.5976,2.3656,3.4521,24.220947,35.015,4.7044,41.294,8.578,312.7647,15.624,0.0182,1,999.7787,0,NA
2019-06-06 15:56:07,6.2,9.6088,2.1748,3.7261,24.203013,34.929,4.6869,41.12,8.562,313.219,12.356,0.0181,1,999.7793,0,NA
2019-06-06 15:56:07,8,9.5705,1.7743,3.7261,24.226697,35.042,4.7134,41.328,8.455,323.4783,1.04,0.0182,1,999.7904,0,NA
2019-06-06 15:56:07,9,9.5675,1.8086,3.6252,24.189516,34.971,4.6906,41.126,8.401,325.5983,0.25555,0.0181,1,999.7959,0,NA
2019-06-06 15:56:07,9.3,9.5559,2.0833,4.0145,24.273719,35.134,4.6994,41.198,8.386,325.144,0.14007,0.0182,1,999.7974,0,NA
