"","Reservoir","Site","Date","Depth_m","Temp_C","DO_mgL","Cond_uScm","Spec_Cond_uScm","Chla_ugL","Turb_NTU","pH","ORP_mV","SpCond_calc"
"80","FCR",50,2015-05-25,0.292,20.5473,9.32915,30.14609,NA,1.2616,1.9449,NA,NA,32.9482233866264
"81","FCR",50,2014-05-26,0.118,21.4702,8.51809,30.138673,NA,0.5713,1.2638,NA,NA,32.3174917965823
"82","FCR",50,2016-05-26,0.418,20.464,9.40319,29.342817,NA,0.9458,1.4204,NA,NA,32.1261494889652
"83","FCR",50,2014-05-28,0.066,26.0558,7.28772,320.290624,NA,0.6586,0.7603,NA,NA,313.959388051616
"84","FCR",50,2014-05-28,0.105,23.4184,8.43827,31.60765,NA,0.7618,0.7603,NA,NA,32.5922138475464
"85","FCR",50,2015-05-28,0.163,25.3744,6.82375,33.871806,NA,0.9006,1.5844,NA,NA,33.6313071771241
"86","FCR",50,2015-05-28,0.311,23.869,8.47477,26.872355,NA,0.5198,1.3956,NA,NA,27.4656711752959
"87","FCR",50,2016-05-29,0.589,22.9886,9.08883,30.423478,NA,2.3874,1.8954,NA,NA,31.6389759519898
"88","FCR",50,2013-05-30,0.507,22.1139,8.63825,35.536865,NA,1.5116,0.9953,NA,NA,37.610103528032
"89","FCR",50,2016-05-30,0.36,22.4461,9.33974,29.791788,NA,1.0872,1.8414,NA,NA,31.3195391466065
"90","FCR",50,2016-05-30,0.598,20.7699,9.84223,29.083734,NA,1.4409,1.5335,NA,NA,31.6400924194186
"91","FCR",50,2016-05-30,0.412,21.3797,6.0112,29.942145,NA,2.1679,2.1835,NA,NA,32.1663769482992
"92","FCR",50,2016-05-30,0.59,20.5573,10.29476,29.222497,NA,2.3454,1.7604,NA,NA,31.932114802906
"93","FCR",50,2016-05-30,0.5,21.2381,6.26324,28.977295,NA,1.362,1.5801,NA,NA,31.2205640199231
"94","FCR",50,2016-05-31,0.419,22.4599,7.7066,29.369509,NA,1.484,1.5551,NA,NA,30.8670521227528
